,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material
Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
time,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,506083.54773350764,2198817.1035604514,171301.17305558635,162703.36277156285,741693.8037026398,607194.6641186486,652443.3937883427,405455.84336868086,185630.20438051058,62532.86471269706,2323557.846651107,350945.8663118927,127876.11257020704,13564.704095390718,53039.71441689842,480479.311013479,1946168.8880826717,1397359.7101117128,386828.904717055,2283824.457297626,750915.088488938,733154.0334662499,732319.0261220044,256850.2039096947,294932.2103698001,165626.95805631112
2010,638293.885470545,5426943.946171555,387828.86031833815,161594.89284862383,1544161.868746558,771059.4968931443,501688.6753172561,542384.4996467768,215928.5268832109,162460.06044985206,3785949.741175687,571471.313495308,243012.12136924334,103546.62206811152,108251.3947252796,551112.026858899,1082342.0162112121,1380322.6938684636,522607.9562917234,3541638.376645909,711360.1063688748,774756.4757843042,1329230.2954585406,473175.4276512794,350555.4199596468,110481.33058959553
2011,564641.294065565,2989385.493664561,389909.5656079519,119193.93027286968,1109011.4936761602,1001916.2661473243,296820.8896389279,384685.05444878637,167557.34579864764,198090.42083874054,3542407.9676868278,461619.2733728676,362211.08223011007,150706.78120591707,123383.47804913159,654567.9397224081,917079.8524810476,1453369.1346406657,381145.0536170809,4179518.815254151,622255.1445917874,1231232.2439640542,1126783.584338575,398734.72277827904,340821.6434285232,171151.55904966555
2012,586481.6757088975,4168589.1616605776,487292.08793681214,172558.78179270626,1301087.7709685923,964691.8369709359,751703.4223709675,465780.7006905593,213472.50899693533,172097.15036413624,2536565.397008025,525749.8286412994,651656.1916737023,132055.01247597055,205775.95369272763,578146.1782717718,1496724.229852738,1425231.9946821264,454916.22061001364,4482854.655897734,831124.9475382025,1398013.7574223522,1313686.3249475744,458756.1744872357,303303.4215716627,227847.41222131328
2013,776428.9873953663,6379598.69290564,515066.82517815277,177048.46871183824,1370795.2157598706,1024447.4191921133,456165.01390745427,820142.0248778489,221206.8127291295,322794.74297597015,4254519.303558886,518035.7997134835,656767.2429986163,131036.86191487429,121741.1687862094,906557.7508225741,1201503.5358747107,1292674.007053762,615267.19029689,5232359.343985426,1155401.746675281,891551.2491249697,1555900.3184363123,523918.0232792245,258930.0596477955,210667.5749601246
2014,665467.3953862502,5728082.858594729,551065.1938873506,239861.3517884972,1271070.784906439,774753.2945220969,646870.7840691989,597098.4505747554,252288.53337522628,165530.0883586855,5701191.236835417,1005525.0059556278,521663.4872047982,39772.89299571053,268870.72620124934,1206976.976567088,1722063.8429667812,1649232.3301440163,581454.9850047118,5022726.201281061,976813.3277360651,770724.0394390115,1333239.6014628212,502530.62503405777,376721.7590522975,158881.58305182873
2015,815185.610549983,7790081.883138004,614464.9646581876,382526.2777020417,786622.2500618632,800148.3120853662,522444.91109836247,452595.4946228848,312618.1611089776,280658.10698627756,5868321.268535858,1248493.4180610129,1053813.3617701086,57846.378624756355,173228.3692277487,727116.0985756447,2683784.5486140195,2262710.2728551035,795407.670276055,6752092.356238862,1060625.92172862,317272.42091338045,1650231.9945747477,585376.6619533598,539583.0053193403,195885.96078844686
2016,827003.1294848918,6727505.552895881,748288.9329301928,280565.9077406343,680341.6695359788,688604.1942866753,613172.7065338964,641748.8936127973,295468.27587553737,116481.13560207128,5944927.686097015,1474658.9646793122,783249.0911141207,133788.05029289034,209669.72357511986,525731.2747303043,1785861.5431499558,1879769.2341709433,714910.6512904783,5510535.375471952,1256498.5322716704,802609.835919926,1572468.882465329,638817.3404723858,609048.4468808507,147306.957660304
2017,1092118.7531945787,6268828.04754377,378313.5447061312,231410.62744214668,924583.8931595267,663714.8997286968,330072.9508911171,353636.21305632807,192956.43999194814,284469.58964900643,5889612.421171721,1837211.1441159116,790840.518476151,142346.35816288457,119867.31876226336,949353.4690976122,1191419.5373685604,2234769.757252009,700293.0806567237,5831782.182160658,1163639.961850905,806354.824278443,1703242.5400084169,625762.5781803653,542579.2138326457,97300.42932023323
2018,1100071.2387946588,6971523.8714211015,418893.59900260094,242055.78884317196,961413.3386834456,603157.770088337,360040.3804837248,544216.7941681694,259194.8621336583,166880.09680954335,5730025.567457909,1435817.0235704253,608124.9559607658,151358.13621209664,615747.661728057,962396.0524724815,870012.7507273271,2178197.6929417867,696488.299694722,7988797.835127195,1029731.6797637669,1497237.9370840346,1591014.4178108089,689793.0513535439,300718.66112246853,159703.4100469625
