,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel
Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
time,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,5268466.061348727,56252825.14404966,3907557.179604479,1783029.91509262,25948136.139240548,9792567.796374364,3885696.1137905708,2214137.248593734,1656443.251223217,2683327.4017275325,41370986.34630039,6548681.501401213,4482655.530243248,108781.45008879145,414892.37635933096,62495.4557895567,6731521.579341389,20223959.549521107,9164517.77115442,45142916.261360735,13641853.211488307,5081791.7890719855,22443151.603199758,5153797.884591935,3243451.3628684757,1106138.8317046005
1996,6555629.873263242,65417833.43552053,1265689.7959887118,1591611.8861933316,14383034.166508788,10426018.373900214,4840509.144560437,3146230.069010977,1773936.5386306331,2520082.636741077,56735928.13366894,12927800.64405672,5151501.178200992,98998.29485752275,410869.5604914257,59503.0244496335,10761302.129439475,21936745.614998933,9701218.985617427,65187444.55241784,13667735.722090922,5565019.388719884,23585327.855632477,5177136.627595475,4112441.1047162535,908959.2455428691
1997,12256343.846413758,76705371.86440495,10720562.323207386,2254860.2545535825,12806166.328871313,17689704.24582139,6096730.597677215,3695780.455392124,1942659.4054445638,2832054.075193205,92445343.67032187,7573916.668213912,7620487.157256398,149902.669575976,1095685.7630093645,920569.2328094115,13408130.365516478,18444278.478394277,6940150.711933523,37347948.671448804,11265387.349729689,5580651.40332857,22022430.509682678,5759508.401147365,2956696.0106646656,1370573.0728431717
1998,10062372.365386434,79344405.94367304,11331408.470872266,2857147.089073264,8451011.97794122,15475625.948609399,7528818.931194345,3986912.055477181,2130632.5999844484,2400845.662750795,95313993.3211051,10683198.859328497,3238573.0430398444,892030.7276520275,1406152.3464295992,2798431.7922543846,28925217.660060726,21199149.506710596,1786999.888833007,40907756.426941305,6246326.359505674,1884989.969421242,16896179.188984033,6201701.413447375,3302562.112285859,1582532.9330016715
1999,6869132.164500566,72131169.39961253,9837475.589813726,2419345.022933625,3163442.266108604,6084613.646524517,4862891.514518634,3247658.8373316955,1828808.6388703294,2577276.3725370103,70297220.26727124,6654479.193884492,3128588.987886838,688071.1878936095,1159719.7763754225,1968142.4665189148,8946005.658426415,26080509.034299787,5816224.271646525,46068682.67364757,8222555.488090237,2056676.252538771,17292526.09043497,6231331.236205541,3441193.121712644,1166157.6745137079
2000,5640540.530307046,66136497.82215784,12812901.736779183,1918421.2259319215,9626245.485510238,2758182.9725385355,3500304.5486055883,2931915.4697758304,1972661.5040173486,2554647.237172694,68731427.37740323,8260249.236654447,6975324.208463838,461962.2491112418,1685049.3805158401,4339135.908641586,5500006.583377838,19677942.25797675,12704420.283884207,72117390.88947396,11301462.726498649,2960398.36231732,21233164.399675645,5409952.755499731,3668741.812689665,1073626.4996728767
2001,6487476.099278966,57290158.27883651,6908852.285611585,1771374.082455273,6879212.816006902,7575494.931865699,4702094.519744274,4722235.394888641,1784687.4305150032,2175264.5809689756,54861508.35622145,9179310.165826296,2726953.80296321,956222.2880042361,1364580.764373518,7226761.558818955,7671717.58168758,22133665.192878004,9497548.795483792,46849652.01605381,12176090.853442373,3429239.676749354,20770760.445478078,3808647.4692584965,3596538.8202087036,1160048.7437054035
2002,11617127.798556076,50806362.93920747,6751590.473630194,1893614.9271414462,8223532.787832122,5830973.235136961,5125012.846123237,4882840.411440778,1955923.139714284,1986245.4850463804,46383407.895640135,10272049.552351426,2464575.4320338084,1131589.7287147641,2030194.2966739843,6573241.374315527,12687392.623839013,20533830.255793076,12292508.485091735,55471190.35442969,12259949.05282304,4233357.611405002,16405869.933617983,6472026.52281799,3865536.749187199,1586445.2368034222
2003,8701934.681098025,59506487.79945612,10022522.516642045,1623197.1963808578,4732757.403572851,1910153.7280575784,5127731.176231106,4459857.246512382,2107530.05541796,2647623.6839740914,52302195.801702596,10794771.713423518,6445327.676441511,1551850.3848920232,2402276.740528247,9045443.837000066,16671268.778408216,24201958.162616357,5795612.898400271,61652560.851338394,13758590.767015062,5159994.661943812,19353423.368639175,5356022.861571355,4170604.043147958,1688983.7425721597
2004,8566645.005361855,62911648.63332789,8900162.21033173,2416394.5416384446,14716916.851110324,11179976.915353276,5029337.723180602,5221479.544309873,2392071.3264309336,4699310.777740189,69598336.30731525,14695899.37226015,9479423.787593177,2211378.2850752464,2859333.4391225595,12085463.870792396,23118672.538731515,24053833.47266642,5028136.024527526,67057900.28883005,16296253.868865928,4428049.280937893,24027177.57368248,7711542.653371637,4812785.482407458,1632917.4978685505
