region,year,mode,variable,value
Other Asia,2060,airplane,load,124.0
Other Asia,2060,bus,load,22.22985
Other Asia,2060,bus,pkm_per_capita,3892.853327934364
Other Asia,2060,car,load,1.622468
Other Asia,2060,car,pkm_per_capita,3127.1879553588187
Other Asia,2060,cycling,pkm_per_capita,127.36678701868475
Other Asia,2060,heavy truck,tkm_per_capita,2160.353582971448
Other Asia,2060,highspeed train,pkm_per_capita,48.518296420406585
Other Asia,2060,highspeedtrain,load,310.333
Other Asia,2060,international shipping,tkm_per_capita,14511.762594549653
Other Asia,2060,medium truck,tkm_per_capita,569.2322331292081
Other Asia,2060,national shipping,tkm_per_capita,1429.5164862023528
Other Asia,2060,plane,pkm_per_capita,2899.5727801095627
Other Asia,2060,plane,tkm_per_capita,161.63452096684188
Other Asia,2060,train,load,29.8374025
Other Asia,2060,train,pkm_per_capita,543.530927709368
Other Asia,2060,train,tkm_per_capita,228.76951977135934
Other Asia,2060,walking,pkm_per_capita,405.19279149415365
Other OECD,2019,airplane,load,124.0
Other OECD,2019,bus,load,21.55363
Other OECD,2019,bus,pkm_per_capita,2534.9355882084446
Other OECD,2019,car,load,1.601114
Other OECD,2019,car,pkm_per_capita,20974.533013765405
Other OECD,2019,cycling,pkm_per_capita,94.35165479026713
Other OECD,2019,heavy truck,tkm_per_capita,4588.433979927363
Other OECD,2019,highspeed train,pkm_per_capita,0.0
Other OECD,2019,highspeedtrain,load,310.333
Other OECD,2019,international shipping,tkm_per_capita,33359.675611108025
Other OECD,2019,medium truck,tkm_per_capita,1537.4492918611013
Other OECD,2019,national shipping,tkm_per_capita,5594.95361909484
Other OECD,2019,plane,pkm_per_capita,4860.53807458534
Other OECD,2019,plane,tkm_per_capita,365.5043248471223
Other OECD,2019,train,load,28.92977
Other OECD,2019,train,pkm_per_capita,1556.403202123134
Other OECD,2019,train,tkm_per_capita,2025.6322594156488
Other OECD,2019,walking,pkm_per_capita,220.15384128882056
Other OECD,2060,airplane,load,124.0
Other OECD,2060,bus,load,18.88456
Other OECD,2060,bus,pkm_per_capita,3296.7222408626535
Other OECD,2060,car,load,1.508642
Other OECD,2060,car,pkm_per_capita,22284.964885284215
Other OECD,2060,cycling,pkm_per_capita,22.09452626950978
Other OECD,2060,heavy truck,tkm_per_capita,6969.679860235332
Other OECD,2060,highspeed train,pkm_per_capita,918.8487926785529
Other OECD,2060,highspeedtrain,load,310.333
Other OECD,2060,international shipping,tkm_per_capita,44001.01815320892
Other OECD,2060,medium truck,tkm_per_capita,2346.49836285592
Other OECD,2060,national shipping,tkm_per_capita,8999.923638509332
Other OECD,2060,plane,pkm_per_capita,10215.40882322315
Other OECD,2060,plane,tkm_per_capita,979.5638139093612
Other OECD,2060,train,load,25.34728
Other OECD,2060,train,pkm_per_capita,1679.716536890699
Other OECD,2060,train,tkm_per_capita,3669.028473580081
Other OECD,2060,walking,pkm_per_capita,2.0687022017563144
Reforming Economies,2019,airplane,load,124.0
Reforming Economies,2019,bus,load,26.139015
Reforming Economies,2019,bus,pkm_per_capita,4181.2028853111215
Reforming Economies,2019,car,load,1.74558875
Reforming Economies,2019,car,pkm_per_capita,4791.792603904146
Reforming Economies,2019,cycling,pkm_per_capita,180.598609623689
Reforming Economies,2019,heavy truck,tkm_per_capita,1155.863408086093
Reforming Economies,2019,highspeed train,pkm_per_capita,2.621848982273994
Reforming Economies,2019,highspeedtrain,load,310.333
Reforming Economies,2019,international shipping,tkm_per_capita,8472.724971714159
Reforming Economies,2019,medium truck,tkm_per_capita,590.6071650134983
Reforming Economies,2019,national shipping,tkm_per_capita,690.3456598942183
Reforming Economies,2019,plane,pkm_per_capita,1019.9686128003278
Reforming Economies,2019,plane,tkm_per_capita,59.30163998529872
Reforming Economies,2019,train,load,35.08437
Reforming Economies,2019,train,pkm_per_capita,2331.291650899203
Reforming Economies,2019,train,tkm_per_capita,1548.5784428128395
Reforming Economies,2019,walking,pkm_per_capita,421.39677526144203
Reforming Economies,2060,airplane,load,124.0
Reforming Economies,2060,bus,load,21.965955
Reforming Economies,2060,bus,pkm_per_capita,6726.615449749615
Reforming Economies,2060,car,load,1.61422875
