t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2008,24035.89571,31309.97011,7942.461276,5422.588207,6420.817994,5218.30539,2680.000463,538.1032273,566.6106952,6201.797184,23167.39736,9693.499288,7108.275529,3904.21692,2259.561058,7782.586141,4636.27367,1368.004246,10541.81143,3225.658132,2480.970657,1480.774576,21782.54856,19718.77905,967.635648,721.8266157
2009,23773.94746,29719.04046,7627.888014,5304.151984,6284.104674,5243.96139,2863.893576,589.7623697,593.0573047,6044.596689,22434.90867,9213.248912,6617.409809,3388.065893,2374.531334,7268.494532,4885.754216,1463.371011,10280.41638,3555.55539,2469.737351,1536.644276,20992.41411,19564.80871,974.7971061,730.3353021
2010,24089.65567,30337.79065,7960.474948,5021.142139,6685.362033,5523.911145,2975.461859,609.2078198,625.28329,6194.978466,22804.44585,9248.28065,6921.451727,3522.932676,2650.394474,7495.679756,4959.407282,1599.087564,10852.44368,3902.946582,2675.971154,1635.837416,22117.30659,19646.27052,999.2314815,788.0898256
2011,24541.2528,30652.74291,8164.333566,5129.199655,6968.046623,5921.928821,2836.486228,629.4757818,625.1118792,6348.109658,23209.43452,9894.800983,7620.045457,3780.651915,2933.352471,7919.930077,5239.80452,1726.25337,11238.54541,4242.622945,2775.877385,1729.979006,22166.13758,19732.63096,1031.945222,817.2633836
2012,24544.46618,30925.87712,8418.475427,5200.130203,7028.873895,6084.791473,3020.242302,661.2179132,3365.876527,6392.106188,23113.73019,9973.975982,7831.492664,3914.60956,3076.5877,8272.954496,5354.254032,1823.251436,11419.01541,4559.788744,2947.387595,1828.777198,22504.51924,20228.84889,1076.315256,866.5773005
2013,24840.58649,31276.80145,8411.635856,5291.566342,7225.322214,6306.589227,3029.964377,685.6723451,3159.152592,6488.203087,23049.08098,10048.92884,8404.054356,3950.348973,3276.473185,8538.955087,5390.690659,1957.359003,11689.41198,4894.624897,3074.407644,1919.194199,22784.6701,20392.53108,1110.152832,913.0545275
2014,25471.50287,31840.88159,8629.270443,5363.916058,7228.747927,5821.671549,3019.689023,716.3101064,2954.388394,6532.472352,23328.52486,10385.0221,8680.26887,3896.611396,3416.664542,8544.654892,5431.692517,2107.917045,12032.83012,5268.058223,3199.487693,2009.639441,22826.94835,20795.04616,1147.266543,911.9639029
2015,25648.18109,32687.44181,8897.971946,5507.065683,6969.112568,5090.51482,3080.22715,722.8028347,2717.03164,6577.670856,23707.16262,10854.06803,9060.835277,3544.644532,3449.767312,8218.492578,5303.234598,2261.949908,12294.6596,5641.331312,3335.656812,2101.182585,23120.97566,21316.49983,1189.93549,902.3265321
2016,25600.44679,32962.41335,9137.331098,5571.238003,6628.110542,5227.701831,3127.108378,691.7301982,2534.055738,6483.043553,24003.21461,11225.15876,9169.799141,3608.208209,3492.586948,8218.275811,5637.518903,2421.711811,12497.58683,6044.780073,3468.149353,2197.139049,22682.76278,21817.22742,1239.451073,895.9065943
2017,26116.51815,33658.7123,9361.69877,5753.302444,6847.666199,5410.582772,3290.189906,734.0314602,2669.889756,6696.946759,24354.33593,11578.77114,9498.222825,3768.496834,3721.834163,8582.388203,5879.729021,2574.619883,12924.93515,6555.483837,3627.115732,2343.025565,22971.67101,22230.75489,1294.651907,940.8803225
2018,26629.68733,34355.85638,9592.571308,5942.514477,7073.286639,5599.202851,3459.676768,778.4712186,2812.448011,6921.90451,24707.14803,11948.0979,9831.373216,3936.610819,3964.974251,8960.234182,6128.969376,2737.253932,13367.01033,7107.136187,3793.566839,2497.603596,23263.98441,22653.61305,1351.861313,987.8410862
2019,27140.68882,35052.93527,9829.929374,6138.972292,7304.413578,5793.774071,3636.210074,825.2452142,2963.255258,7158.549663,25060.67244,12333.58612,10168.52536,4113.25933,4222.206949,9354.152138,6384.582331,2910.108833,13825.70302,7704.079478,3968.001158,2661.390508,23559.42092,23086.80186,1411.292392,1036.554776
2020,25422.69191,33449.82053,8756.217007,5660.569654,6781.035231,5323.862051,3476.690171,799.6259735,2847.461856,6277.157705,22823.71262,11598.77753,9792.91241,3961.301052,4103.763454,8736.638182,6049.698843,2602.605972,13646.31068,7876.309628,3766.37682,2568.591995,22266.24878,21796.07038,1332.192311,996.3524868
