! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trvl_loadfactor.dat;;;;;;;;
real main.em.dem.trp.trvl.ModeT.loadfactor2[26,7](t) = [;;;;;;;;
unit=person/vehicle;;;;;;;;
;;;;bus;train;car;highspeedtrain;airplane
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7
1983;16;0;0;27.7904;37.3009;1.795108;310.333;124
1983;17;0;0;24.61839;33.04336;1.699827;310.333;124
1983;18;0;0;41.23085;55.34097;2.143818;310.333;124
1983;19;0;0;32.34131;43.40923;1.921892;310.333;124
1983;20;0;0;44.98295;60.37713;2.229511;310.333;124
1983;21;0;0;34.64425;46.50028;1.982312;310.333;124
1983;22;0;0;34.71509;46.59538;1.984135;310.333;124
1983;23;0;0;23.84665;32.00751;1.675638;310.333;124
1983;24;0;0;24.20616;32.49005;1.686959;310.333;124
1983;25;0;0;38.70724;51.95374;2.083745;310.333;124
1983;26;0;0;39.21708;52.63805;2.096051;310.333;124
1984;1;0;0;22.90996;30.75026;1.645693;310.333;124
1984;2;0;0;22.28637;29.91327;1.625383;310.333;124
1984;3;0;0;27.05668;36.31608;1.773624;310.333;124
1984;4;0;0;30.37484;40.76979;1.868397;310.333;124
1984;5;0;0;28.32605;38.01986;1.810596;310.333;124
1984;6;0;0;28.38893;38.10426;1.812404;310.333;124
1984;7;0;0;29.86388;40.08397;1.854188;310.333;124
1984;8;0;0;37.47615;50.30134;2.053656;310.333;124
1984;9;0;0;42.33763;56.82651;2.169526;310.333;124
1984;10;0;0;27.46665;36.86635;1.785667;310.333;124
1984;11;0;0;23.7586;31.88933;1.672851;310.333;124
1984;12;0;0;27.62934;37.08472;1.790419;310.333;124
1984;13;0;0;29.71019;39.87769;1.849888;310.333;124
1984;14;0;0;28.96299;38.87478;1.828805;310.333;124
1984;15;0;0;30.8255;41.37468;1.880821;310.333;124
1984;16;0;0;27.61368;37.06371;1.789962;310.333;124
1984;17;0;0;24.91816;33.44572;1.709111;310.333;124
1984;18;0;0;41.10843;55.17665;2.140952;310.333;124
1984;19;0;0;31.82414;42.71508;1.908001;310.333;124
1984;20;0;0;43.90436;58.92941;2.205294;310.333;124
1984;21;0;0;34.62481;46.4742;1.981811;310.333;124
1984;22;0;0;34.40678;46.18156;1.976186;310.333;124
1984;23;0;0;23.66421;31.76263;1.669857;310.333;124
1984;24;0;0;24.02543;32.24747;1.68128;310.333;124
1984;25;0;0;38.5326;51.71931;2.079509;310.333;124
1984;26;0;0;39.20828;52.62623;2.095839;310.333;124
1985;1;0;0;22.74158;30.52426;1.640239;310.333;124
1985;2;0;0;22.15005;29.73029;1.620901;310.333;124
1985;3;0;0;27.00959;36.25288;1.772234;310.333;124
1985;4;0;0;30.45038;40.87118;1.870487;310.333;124
1985;5;0;0;28.0208;37.61014;1.80179;310.333;124
1985;6;0;0;28.56169;38.33614;1.817359;310.333;124
1985;7;0;0;29.68583;39.84498;1.849205;310.333;124
1985;8;0;0;37.35552;50.13942;2.050679;310.333;124
1985;9;0;0;42.34254;56.83311;2.16964;310.333;124
1985;10;0;0;27.69722;37.17583;1.792397;310.333;124
1985;11;0;0;23.64387;31.73533;1.669211;310.333;124
1985;12;0;0;27.55283;36.98202;1.788186;310.333;124
1985;13;0;0;29.59417;39.72195;1.846634;310.333;124
1985;14;0;0;28.90576;38.79796;1.827178;310.333;124
1985;15;0;0;30.87929;41.44688;1.882297;310.333;124
1985;16;0;0;27.57829;37.0162;1.788929;310.333;124
1985;17;0;0;25.20147;33.82597;1.717828;310.333;124
1985;18;0;0;40.87293;54.86057;2.135424;310.333;124
1985;19;0;0;31.45359;42.21771;1.897971;310.333;124
1985;20;0;0;43.04629;57.7777;2.185793;310.333;124
1985;21;0;0;34.78979;46.69564;1.986055;310.333;124
1985;22;0;0;34.3838;46.15071;1.975592;310.333;124
1985;23;0;0;23.44917;31.474;1.663012;310.333;124
