! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trp_frgt_Tkm.out;;;;;;;;;
real main.em.dem.trp.frgt.ProjF.TkmGlobalTot[28,8](t) = [;;;;;;;;;
unit= million Tkm;;conversionfactor =0.001;;;;;;;
;;national shipping;train;medium truck;heavy truck;plane;international shipping;;total
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8
1974;7;37553.3;4603.302;8348.645;10827.28;586.2727;761943.4;0;823862.2
1974;8;30434.26;3414.496;6142.156;14933.59;594.8887;815345.4;0;870864.8
1974;9;15820.37;11377.69;3495.647;8471.646;443.6668;281287;0;320896.1
1974;10;0;46513.19;13797.09;32417.06;307.8416;607554.6;0;700589.8
1974;11;2080554;136275.4;264548.3;986028.8;14995.51;3.09E+07;0;3.44E+07
1974;12;144665.3;44377.2;35608.43;133778.3;1171.682;2579714;0;2939315
1974;13;127730.2;4572.622;11502.36;12667.68;140.2699;191927.6;0;348540.7
1974;14;450948.7;349814.4;13072.38;50061.98;2341.77;276786.5;0;1143026
1974;15;225378.4;200601.6;4664.254;11362.54;1531.901;142729.2;0;586267.9
1974;16;1382583;1198015;28337.21;69173.66;9398.054;849825.1;0;3537333
1974;17;0;442.8484;21225.82;27946.05;3641.867;2253067;0;2306324
1974;18;38751.94;25525.76;7787.728;38780.15;560.7843;383548.5;0;494954.8
1974;19;86976.17;615.1112;2631.42;11023.59;373.0939;240299.9;0;341919.3
1974;20;44020.58;15526.76;12489.93;58555.44;1516.327;1330432;0;1462541
1974;21;56155.67;0;16582.14;53932.34;3205.625;934667;0;1064543
1974;22;15647.99;0;6077.96;19780.92;316.538;329947.4;0;371770.8
1974;23;1207056;100468.2;48030.93;242009.4;4201.082;4194402;0;5796168
1974;24;246364.5;25269.56;17535.95;56036.23;1471.208;806982.6;0;1153660
1974;25;14087.03;4479.091;2108.113;10563.82;359.5125;282416.9;0;314014.4
1974;26;714.1657;5755.245;2952.503;7080.949;246.9116;437102.3;0;453852.1
1974;27;0;0;0;0;0;0;0;0
1974;28;7754587;5357351;1277792;3714527;100961.6;5.94E+07;0;7.76E+07
1975;1;293315.8;376379.6;55568.04;135076.1;3408.557;2044417;0;2908165
1975;2;563579;2374351;604025;1469668;47414.45;5161295;0;1.02E+07
1975;3;0;4458.918;17756.11;49278.75;562.7343;181085.2;0;253141.7
1975;4;49148.89;652.8278;9147.005;25275.94;1356.453;953811.4;0;1039393
1975;5;384439;87668.96;39084.39;105598.7;1316.325;564096.6;0;1182204
1975;6;188875.8;50849.65;40728.2;113133.9;1415.218;944018.3;0;1339021
1975;7;37963.83;4860.572;8773.262;11387.57;618.1646;795805.1;0;859408.4
1975;8;30482.28;3342.262;7111.347;17294.31;685.6632;787406.1;0;846321.9
1975;9;16978.49;9366.894;3277.407;7950.227;494.8915;233081.3;0;271149.3
1975;10;0;47291.65;15203.36;35869.51;362.3854;535092.1;0;633818.9
1975;11;1973075;132723.7;274546.6;1027881;15143.15;2.79E+07;0;3.13E+07
1975;12;132861.2;46496.48;37993.19;143486.3;1078.476;2308727;0;2670643
1975;13;144770.9;4911.767;14145.33;15568.39;124.6844;186997.7;0;366518.8
1975;14;432028.4;366660.3;14294.44;54824.79;2007.231;242334;0;1112149
1975;15;215922.3;211874.7;5107.361;12451.38;1313.058;125248.6;0;571917.4
1975;16;1324578;1273090;31063.45;75861.37;8055.475;745076.7;0;3457725
1975;17;0;442.8484;24957.54;32878.83;3958.353;2637857;0;2700095
1975;18;47971.42;29112;8129.108;40565.89;596.2097;333384.8;0;459759.4
1975;19;70787.67;1226.162;2755.157;11588.36;362.0889;250877.6;0;337597
1975;20;52181.12;16587.44;13514.34;63586.63;1377.964;1247301;0;1394549
1975;21;56482.91;0;17093.78;55584.73;3048.959;916439.6;0;1048650
