! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\global\pop.scn;;;;;;;;;;;;;;;;;;;;;;;;;;;;
real main.em.dem.POP[28](t) = [;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit= million;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8;class_ 9;class_ 10;class_ 11;class_ 12;class_ 13;class_ 14;class_ 15;class_ 16;class_ 17;class_ 18;class_ 19;class_ 20;class_ 21;class_ 22;class_ 23;class_ 24;class_ 25;class_ 26;class_ 27;class_ 28
2028;39.25839;347.2018;133.9477;100.7941;221.0117;231.4205;232.347;690.1096;419.4244;62.65632;425.9743;117.8185;89.14595;48.79346;83.62643;160.9468;305.8319;1486.06;77.71014;1456.434;426.0847;299.0775;120.3115;36.15981;551.8077;232.7508;0;8396.705
2029;39.41885;348.7439;134.9925;101.641;221.9462;233.0719;235.4198;707.3157;428.8116;63.1484;426.2083;117.2838;89.72141;48.84182;84.66044;160.5608;310.054;1497.361;77.63309;1454.383;429.3045;301.2598;119.688;36.42574;560.0479;238.4259;0;8466.369
2030;39.5793;350.2859;136.0373;102.4878;222.8807;234.7233;238.4927;724.5219;438.1988;63.64047;426.4424;116.749;90.29688;48.89017;85.69445;160.1749;314.2762;1508.662;77.55604;1452.331;432.5242;303.442;119.0645;36.69167;568.288;244.1009;0;8536.033
2031;39.72838;351.798;136.9615;103.2232;223.5592;236.1463;241.4295;742.8683;447.7234;64.03827;426.7157;116.1896;90.7627;48.82973;86.63921;159.8106;318.281;1517.974;77.37942;1448.781;435.1794;305.2469;118.4066;36.93799;576.2047;249.9679;0;8600.783
2032;39.87747;353.31;137.8858;103.9587;224.2376;237.5694;244.3664;761.2147;457.2481;64.43607;426.989;115.6301;91.22854;48.76929;87.58398;159.4464;322.2858;1527.285;77.20279;1445.232;437.8347;307.0518;117.7488;37.18431;584.1213;255.835;0;8665.532
2033;40.02655;354.822;138.81;104.6941;224.9161;238.9925;247.3033;779.5611;466.7727;64.83387;427.2624;115.0707;91.69437;48.70885;88.52873;159.0821;326.2905;1536.596;77.02617;1441.682;440.4898;308.8566;117.0909;37.43064;592.038;261.702;0;8730.282
2034;40.17564;356.334;139.7342;105.4295;225.5945;240.4156;250.2402;797.9075;476.2974;65.23167;427.5357;114.5112;92.1602;48.64841;89.4735;158.7178;330.2953;1545.907;76.84954;1438.133;443.1451;310.6615;116.4331;37.67696;599.9547;267.5691;0;8795.032
2035;40.32472;357.8461;140.6584;106.165;226.273;241.8386;253.177;816.2539;485.822;65.62947;427.809;113.9518;92.62603;48.58797;90.41826;158.3535;334.3001;1555.219;76.67292;1434.583;445.8003;312.4663;115.7752;37.92328;607.8714;273.4361;0;8859.782
2036;40.4606;359.2701;141.4357;106.7723;226.6824;242.9869;256.0306;835.5456;495.2559;65.93665;428.1512;113.4029;93.00291;48.44867;91.32901;158.0716;338.0568;1562.375;76.40756;1429.848;447.8808;313.8464;115.0998;38.15455;615.3137;279.388;0;8919.154
2037;40.59647;360.6942;142.2129;107.3797;227.0918;244.1353;258.8842;854.8373;504.6898;66.24384;428.4934;112.8541;93.3798;48.30936;92.23976;157.7897;341.8135;1569.532;76.1422;1425.114;449.9613;315.2265;114.4244;38.38582;622.7561;285.3399;0;8978.527
2038;40.73235;362.1183;142.9902;107.987;227.5012;245.2836;261.7379;874.129;514.1237;66.55101;428.8356;112.3053;93.75668;48.17005;93.15051;157.5078;345.5703;1576.689;75.87685;1420.379;452.0419;316.6066;113.749;38.61709;630.1984;291.2918;0;9037.899
2039;40.86822;363.5423;143.7674;108.5944;227.9106;246.4319;264.5914;893.4207;523.5576;66.85819;429.1778;111.7565;94.13356;48.03074;94.06126;157.2258;349.327;1583.846;75.6115;1415.644;454.1224;317.9867;113.0736;38.84835;637.6408;297.2438;0;9097.271
2040;41.00409;364.9664;144.5447;109.2018;228.3199;247.5802;267.445;912.7124;532.9915;67.16537;429.52;111.2076;94.51044;47.89144;94.97201;156.9439;353.0837;1591.003;75.34614;1410.909;456.2029;319.3668;112.3983;39.07962;645.0831;303.1957;0;9156.645
2041;41.13296;366.2745;145.158;109.6734;228.4681;248.453;270.1335;932.5837;542.2144;67.38261;429.9131;110.6861;94.79344;47.70374;95.84041;156.7504;356.5186;1595.826;75.00401;1404.701;457.7563;320.3243;111.7193;39.30349;651.9724;309.1235;0;9209.41
2042;41.26183;367.5827;145.7712;110.1451;228.6162;249.3257;272.8219;952.455;551.4372;67.59984;430.3062;110.1645;95.07644;47.51605;96.70881;156.5569;359.9534;1600.65;74.6619;1398.493;459.3098;321.2819;111.0404;39.52736;658.8617;315.0513;0;9262.176
2043;41.39069;368.8909;146.3845;110.6168;228.7643;250.1985;275.5103;972.3264;560.6601;67.81707;430.6992;109.6429;95.35943;47.32836;97.5772;156.3633;363.3883;1605.474;74.31977;1392.285;460.8632;322.2395;110.3615;39.75123;665.751;320.9791;0;9314.941
2044;41.51956;370.1991;146.9978;111.0884;228.9124;251.0712;278.1987;992.1976;569.8829;68.0343;431.0923;109.1213;95.64243;47.14067;98.4456;156.1698;366.8232;1610.297;73.97765;1386.077;462.4166;323.1971;109.6825;39.9751;672.6403;326.9069;0;9367.708
2045;41.64842;371.5073;147.6111;111.5601;229.0606;251.9439;280.8871;1012.069;579.1058;68.25153;431.4853;108.5998;95.92542;46.95297;99.314;155.9763;370.2581;1615.121;73.63553;1379.869;463.97;324.1547;109.0036;40.19897;679.5295;332.8347;0;9420.474
2046;41.78209;372.7354;148.0647;111.9015;228.9465;252.5577;283.3084;1032.129;588.014;68.36433;431.9076;108.1165;96.08761;46.74924;100.087;155.8243;373.2601;1617.665;73.25154;1371.865;465.0258;324.7012;108.3489;40.41972;685.9;338.6084;0;9465.622
2047;41.91576;373.9634;148.5184;112.2429;228.8324;253.1714;285.7296;1052.19;596.9223;68.47711;432.3299;107.6333;96.2498;46.54551;100.86;155.6724;376.2621;1620.21;72.86755;1363.861;466.0817;325.2476;107.6942;40.64046;692.2705;344.382;0;9510.771
2048;42.04943;375.1915;148.972;112.5843;228.7182;253.7851;288.1509;1072.25;605.8306;68.5899;432.7522;107.1501;96.41199;46.34178;101.633;155.5204;379.2642;1622.754;72.48356;1355.857;467.1375;325.7941;107.0395;40.86121;698.6411;350.1557;0;9555.92
2049;42.1831;376.4196;149.4256;112.9257;228.6041;254.3988;290.5722;1092.31;614.7388;68.70269;433.1745;106.6668;96.57418;46.13805;102.4061;155.3685;382.2663;1625.299;72.09957;1347.853;468.1934;326.3405;106.3848;41.08196;705.0115;355.9293;0;9601.068
2050;42.31676;377.6476;149.8792;113.2671;228.49;255.0125;292.9934;1112.371;623.6471;68.81548;433.5968;106.1836;96.73637;45.93431;103.1791;155.2165;385.2683;1627.843;71.71558;1339.849;469.2492;326.887;105.7301;41.30271;711.382;361.7029;0;9646.217
2051;42.4307;378.7004;150.2071;113.4831;228.1572;255.3914;295.0666;1132.091;632.0095;68.84561;433.8077;105.7074;96.78255;45.71923;103.8006;155.0122;387.8032;1628.788;71.24043;1329.991;469.8169;327.1311;105.1057;41.50346;717.1147;367.1747;0;9682.882
2052;42.54464;379.7532;150.5349;113.6992;227.8243;255.7702;297.1397;1151.811;640.3718;68.87574;434.0186;105.2313;96.82873;45.50415;104.4222;154.808;390.3381;1629.733;70.76528;1320.133;470.3847;327.3752;104.4812;41.70421;722.8474;372.6465;0;9719.547
2053;42.65858;380.8059;150.8628;113.9152;227.4915;256.1491;299.2129;1171.532;648.7343;68.90588;434.2296;104.7551;96.87492;45.28907;105.0437;154.6037;392.8731;1630.678;70.29012;1310.275;470.9524;327.6192;103.8568;41.90496;728.5801;378.1183;0;9756.212
2054;42.77251;381.8587;151.1906;114.1312;227.1586;256.5279;301.2861;1191.252;657.0966;68.936;434.4405;104.2789;96.9211;45.07399;105.6653;154.3994;395.408;1631.624;69.81497;1300.417;471.5201;327.8633;103.2323;42.10571;734.3127;383.5901;0;9792.877
2055;42.88645;382.9114;151.5184;114.3472;226.8258;256.9068;303.3592;1210.972;665.459;68.96613;434.6514;103.8028;96.96728;44.85891;106.2868;154.1951;397.9429;1632.569;69.33982;1290.559;472.0879;328.1074;102.6079;42.30647;740.0454;389.0618;0;9829.543
2056;42.99384;383.9275;151.7236;114.4538;226.2989;257.061;305.0745;1230.063;673.218;68.92278;434.7001;103.3163;96.89503;44.64461;106.7468;153.9385;399.9642;1632.068;68.7786;1279.494;472.1833;328.067;101.9857;42.48827;745.0978;394.1948;0;9858.301
2057;43.10122;384.9436;151.9289;114.5604;225.772;257.2152;306.7898;1249.154;680.9771;68.87942;434.7489;102.8298;96.82278;44.43031;107.2068;153.6818;401.9856;1631.568;68.21738;1268.43;472.2787;328.0266;101.3635;42.67008;750.1502;399.3278;0;9887.06
2058;43.20861;385.9597;152.1341;114.667;225.2452;257.3694;308.5051;1268.244;688.7361;68.83607;434.7976;102.3433;96.75053;44.21601;107.6667;153.4252;404.0069;1631.068;67.65617;1257.365;472.3742;327.9862;100.7413;42.85189;755.2026;404.4608;0;9915.817
