t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
2008,5914738.598,52060810.194,39805834.674,7659534.135,28003675.783,25093728.856999997,36617081.162,11399399.744,3656877.759,10205854.002,166716263.605,65358049.132,15525488.129,28584826.004,12168484.914,71080665.27600002,114569778.92099999,656309420.02,22743873.833,3495582837.8670006,117131867.51,11572437.098,18305522.928,11693388.724000001,11380422.44,2980599.0390000003
2009,5154409.548,42495438.114,11157284.232,6552606.649999999,34882096.806,24901946.079000004,37969548.155,10549273.315,4209425.274,9375718.821,162754295.583,61652359.32,14589261.549,29660912.286,12123752.745000001,66810372.52200001,116425081.35100001,674237375.71,22582534.168,3592841033.378,117949386.34799999,7695467.003999999,15918255.635,10177045.714000002,11291156.548999999,3992289.6820000005
2010,5873648.021,39639039.219,11306671.724,5600792.801,40285216.728,26791798.873,38479016.467999995,11953605.661999999,4731985.092,8721215.904,156394147.11200002,58226476.874,17668876.666,31046700.173,12387713.501999998,71351800.171,122769960.443,688910042.817,21088861.195,3672625192.529,149579556.019,10365105.107,15044562.769,9959622.832,12649257.272,4711046.938
2011,5829700.893,36539513.428,11168418.905,5694289.967,44749913.473,29291761.172000002,35712618.163,12253162.406000001,5597128.5940000005,8916016.309,153257123.99800003,58639399.8,19288940.194,32422809.981,13168116.471,76579960.963,129293505.36,714603797.546,20812759.435,3744186265.197,133668618.98500001,11238542.644999998,15216601.686,9954764.988608,14293495.72,5271766.897
2012,3884563.577,26888606.015,12962244.356,6642546.177248,42928985.911000006,22775489.051099997,42250454.932,15337363.524123998,5599624.63288,3949985.3890000004,67777614.298446,22827520.74892,15859001.808000002,7436597.6959,13010342.0643,42766561.79592001,69352689.1988,714399637.466,16265083.814999998,3742450193.2864,96599030.23182,18122883.3186,79899046.746,9696532.892972002,21150710.19604,12592793.61461
2013,3690791.045,28354221.086,12050427.703,6728189.465536565,42864302.092,24330999.5122,34948971.039,17369401.148366865,5528135.032670001,7110760.816,63436717.86012502,21616451.020000003,18138531.607,7407394.8626999995,10711278.9384,45685036.80952,68971096.34629999,714168369.841,16625894.207000002,3741785724.0634003,97238185.94861999,18486757.243,83127467.17099999,9973592.47723,20393961.7815,13393543.423241355
2014,3673269.24,28502325.469,13464165.401,6907370.54959913,52765770.002,26248253.017832708,36122907.645,16070480.456379851,5879491.223067794,6861115.232,66973769.00532402,22595203.029799998,18178728.228,6918689.1922,11139192.307200002,47532878.070272215,65681010.9219,713838188.977,16319750.027,3742495827.1497,102854229.79962,18951248.470000003,86837190.14899999,6060063.501705051,19764813.71169,14462644.99473271
2015,3333637.735,32095517.368,14386537.662,7287643.540006236,43656816.43,26360981.753199056,33884465.70935536,17691043.451159332,7753366.724913433,7166360.536,60596750.41135898,23176830.7942,18484335.803000003,6288407.612266667,11337221.865,41028919.63756022,64478692.53905863,713850440.825,18204107.7785284,3742062874.708424,85808719.00869332,19476986.445834573,91624071.978,6289753.843268397,28209337.955525387,13696297.471659597
2016,4121684.1384369098,29318804.855339646,14703737.76829169,7454020.081809674,39707389.38226937,25733247.12523783,40881486.30045129,15490251.538841017,7669834.955448976,6976490.043597058,68307619.23842916,24673669.489544995,23516269.08690217,6495104.663615259,11574759.208288394,34275016.66002472,66244582.28932284,713846396.7355931,20379021.5300568,3739714574.052278,92862941.03656803,19477952.63166915,102504531.85545538,5199604.930359174,27089747.490130194,13444312.885866065
2017,3487775.99587382,33644849.90267929,13444287.35458338,7721360.50715247,38563931.45453874,23790652.192946594,46421013.31454723,18980958.155080702,8363853.0334696965,4193980.5741941165,64979052.72967426,25011334.68708999,19776319.04080435,7007083.971263852,11594497.49587679,34716495.35438921,68495301.49988705,713842352.6461861,19787626.344513103,3740219324.470332,85315698.59046274,20655973.74750372,99571500.0629108,5482338.968214236,30647019.447295,8380111.674698249
