Index,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
2027,18438290.34,9946531.206,149323844.5,38254649.95,26133139.85,8219352.409,10520640.51,37653186.51,59654329.93,178897753.4,25643194.58,131291506.8,581504721.4,64155243.58,30702030.3,37599152.88,15986576.63,37778456.03,14227169.04,31270564.61,18115250.39,36566832.96,34367797.95,25759211.12,43107870.84,41000675.67
2028,18933157.7,11142632.55,151940204.1,38721002.04,26114018.96,8331387.6,10984760.34,40328112.52,65390898.43,180883841.9,25653073.25,133380746.9,581814073.5,65272212.33,32085528.85,38410228.38,15974765.75,40041569.63,14672793.77,32682699.57,19208972.79,38495000.06,35656671.05,29111804.47,45918727,44484925.7
2029,19372542.65,11891463.08,153850832.9,39005195.78,26362367.91,8419172.026,11356976.59,41820910.37,70268525.5,187067790,25508436.22,134069909.5,589791992.4,66384921.15,33219593.77,38515712.71,16007816.19,42159522.91,15104808.73,33890723.43,20205874.68,38840486.03,36783850.36,32118927.08,48762447.49,47759317.57
2030,19596619.88,12204485.78,154893351.3,39260970.52,26715560.47,8514123.813,11649599.31,42022123.89,71973057.99,195959524.9,25552811.38,133773747.8,593751267.7,68224693.67,34258802.22,37949258.02,16002512.48,43232635.55,15478673.59,34599036.15,20875618.81,38897375.65,37720819.52,33215664.56,50678747.17,50424356.11
2031,19763889.55,12197988.96,155514112,39171618.08,26823566.01,8259901.666,11859271.38,41405157.93,72946660.59,206019643.9,25322885.33,132391261.8,602715968,70061275.77,34789644.51,37121278.84,16037601.74,43812205.48,15679121.77,34668217.88,21341480.4,37955407.94,38349776.87,33513697.36,52034702,52810451.63
2032,20086984.38,12155277.62,156530332.7,38993761.45,26887755.41,7900960.529,12064687.36,40563906.47,73267246.59,215465351,24990822.92,131204904.2,606058092.3,71524158.71,35092893.1,36274143.81,16104309.64,44425309.69,15904637.43,34697372.75,21786806.53,36799062.33,38928796.28,33730261.55,53307575.14,55385610.86
2033,20395771.56,12204735.13,157718007,38777457.52,26952854.8,7534761.352,12245304.37,39972872.16,73705599.09,223963997.5,24622068.85,130602529.8,607603485,72906825.28,35521512.82,35549674.98,16224512.27,45052989.12,16166960.21,34728549.73,22189333.34,35800241.78,39497698.24,34060758.61,54623999.15,58371301.08
2034,20677271.76,12364556.75,158625788.7,38662939.43,27222358.05,7478148.444,12418477.65,39581431.97,74065652.21,232301766.9,24162224.39,130618492.6,600349798.3,74276035.17,36419471.45,34855510.71,16388625.2,46014125.67,16613403.45,35123770.42,22596544.27,35594839.24,40211019.29,34849821.06,56381792.17,61851191.91
2035,20789500.63,12705405.69,159575979.1,38689291.56,27592513.2,7550755.479,12618732.52,39660275.99,75310346.37,239960514.5,23669217.77,131233152.8,597215194.4,76031423.83,37831004.59,34371488.98,16601943.3,47089287.37,17156206.51,35610923.12,22938950.78,36019379.97,40985281.03,35985062.34,58473932.8,65882623.12
2036,20843859.86,13185042.61,160739723.9,38685418.05,28028690.81,7994495.069,12827047.68,39942750.84,76687688.81,247157079.7,23334770.58,132213569.4,593359770,77913155.59,39349314.17,33944935.42,16846877.47,48260194.67,17753149.23,36160352.25,23246250.81,36920726.06,41676228.74,37295150.81,60676582.97,70421108.56
2037,20898818.22,13590231.39,162016519.8,38434462.54,28399722.77,8424688.531,12980137.58,39908397.69,77653588.88,254409281.2,22941287.77,133063761.2,586861482.1,79724157.34,40515604.92,33648193.42,17066950.58,49544381.82,18532962.6,36685996.15,23581170.27,37733198.1,42232616.31,38369243.45,62826574.86,75103688.86
2038,20946798.04,13958468.23,163393260.5,38201973.87,28759299.92,8908919.903,13132922.3,39745636,78579563.51,262539027.5,22610403,133698753.5,581231525.8,81690335.55,41556808.48,33463512.73,17266091.64,50919386.3,19330756.26,37237107.57,23998174.2,38566343.86,42809163.76,39399430.84,65006739.39,79716775.36
2039,20991310.08,14306830.55,164434093.4,37738687.94,29090042.75,9083367.57,13298880.23,39477427.77,79546756.41,271334210.9,22362889.39,134201162.4,576484534.7,83765989.33,42523992.2,33395029.93,17455107.09,52378778.9,20160230.44,37804126.19,24512494.74,39174336.79,43495818.37,40402545.75,67239435.36,84212549.19
2040,21047621.91,14690535.81,165127195.5,37447932.9,29439290.67,9309831.317,13511022.53,39462951.57,80942735.49,281396401.4,22243020.63,134626611.3,575557465.3,86171269.66,43724767.9,33465377.02,17643283.93,53899784.42,20835463,38467199.55,25180670.22,39840448.57,44361241.31,41626794.36,69693451.58,88456598.94
2041,21117137.75,15031664.92,165558231.7,37093646.22,29730968.05,9488010.897,13718493.57,39303753.56,82194132.62,291919529.7,22090864.58,134852228.4,573663508.7,88575401.23,44797277.46,33539989.95,17812023.65,55411166.9,21494970.29,39102653.16,25936439.23,40420494.07,45317368.79,42768803.08,72170510.95,92647379.74
2042,21155313.8,15316032.75,166083790.5,36676253.77,29955347.13,9527676.781,13908047.8,38761394.57,83164323.24,301856078.2,21794283.14,135135857.5,569496762.3,90993848.89,45696976.2,33629786.07,17981835,57013142.3,22422299.56,39728130.08,26759865.67,40876396.22,46309537.14,43835548.27,75010690.6,97503132.95
2043,21184015.58,15620005.4,166304546.2,36275982.55,30115269.57,9526650.069,14106093.48,38129212.65,84068411.2,311515217.9,21373778.46,135417185.3,563467881.2,93477219.19,46562370.82,33630228.73,18143402.45,58628465.82,23422157.61,40281444.53,27570912.86,41248851.9,47320865.2,44935032.32,78092105.41,103181691.1
2044,21217231.82,15938899.88,166626270.5,36015643.06,30215210.94,9487443.904,14299354.4,37480473.94,84911744.12,320896109.6,20850763.36,135752838.8,555724682.5,96011585.05,47372718.8,33552110.78,18289461.75,60252150.86,24477911.55,40769149.04,28368088.52,41532008.78,48303517.08,46070805.36,81439260.98,109757202.3
2045,21279381.35,16352645.9,166838286.8,35948889.54,30297164.12,9513832.155,14530948.46,37132599.05,86025885.56,330601913,20282892.52,136169218.6,549034843.2,98788106.61,48325887.95,33365734.44,18419303.29,61928389.2,25388002.67,41156653.79,29124382.68,41814807.75,49315448.29,47415415.74,85019101.6,117206678.9
