t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
2000,379194976.723,2152426325.2980003,220988212.288,94793256.202375,289677352.70600003,313864751.5701,320314048.97999996,83152763.67177999,26156591.5819,54486994.455,2517315862.717,358293020.693,214113557.446,64033041.547,41556322.618999995,381344891.08500004,644929670.793,594024128.1639999,344004551.7,3349070232.3143997,466883476.603,130366722.262,632292088.2469999,142471224.64034,123961639.12319998,21699084.282619998
2001,362854835.245,2018945740.96,211543025.13300002,104092988.88591799,287270021.496,278221228.1962,340497590.64699996,88448089.13498999,33974520.5049,52673259.778,2571315446.67095,322680764.43600005,166847696.146,72347713.30170001,52526898.019,379566840.84099996,708576656.808,635023981.4050001,363759924.57799995,3686096715.1786,392990320.075,154546601.919,608929518.172,137143330.84875998,133356878.00930002,23821183.023020003
2002,364403663.17600006,2041488915.789,223767795.14800003,107571421.994098,282528245.36,249587834.2039,349342747.80300003,92367548.37524,35630231.5388,57168963.175,2526022342.655,348053474.88799995,175867686.01799998,71882698.537,56135266.886,382825696.48200005,758880725.9879999,701724313.175,366223612.718,4029543164.9485006,523402837.522,163876303.933,577221971.605,140872458.01734,142240197.646,35957588.64706
2003,352570676.528,2005686749.283,227998657.57900003,110939082.167286,239148490.338,229131007.79680002,366886410.472,96176300.82269001,38411321.590100005,60525508.407000005,2520195112.506,389206799.596,198014288.28900003,94181945.56600001,63802182.03599999,412699220.97,775528059.2,745709334.911,400543943.02699995,4744934052.372,590562472.5,182797926.02800003,564152869.369,150658179.49614298,154359378.6074,28487043.91989
2004,382992300.21199995,2181236112.094,243073062.901,111248767.039757,254074422.00800002,279790946.5638,376822364.83399993,109918320.96087,42682826.2046,74075252.863,2595771751.13,441079744.713,215745192.009,110555155.316,78452153.66499999,443544400.873,855513815.615,790352402.3860002,381495714.613,5373604093.1369,618790705.8165001,175136026.2136,559896221.1010001,176504957.79168397,169725299.8051,27737237.466610003
2005,381821961.59300005,2397513757.2970004,260469117.73000002,112776930.490204,265129807.25699997,345669445.024,400442321.685,119321413.20109001,49240354.318,81743311.17599998,2722258012.482,502008460.194,255069581.20000002,118794776.22000001,87386980.85700001,477378139.06,949555835.947,864670819.502,330206109.964,5818862977.28,690706862.0019001,182839136.35199997,551500472.165,163772746.34851703,192305850.3591,34166348.0852
2006,390130018.34400004,2210888646.9359994,282466157.8550001,130412448.45278299,300739441.69,320013567.9903,449975467.61800003,139489155.83179,51910220.0325,85831389.984,2868467784.452,539014863.598,326815431.473,134317753.742,96897208.38499999,517699397.7370001,1069627356.587,967400302.9369999,332248115.9880001,6620888756.311,705420167.76,168173844.324,569900717.607,165744604.1961,213974281.29160002,43235455.605900005
2007,387488296.564,1955944112.1959999,283194093.59299994,128130364.569116,314951485.75600004,401189503.6898,493638233.025,157391228.71332,59294751.14616001,103016908.649,2888957207.7999997,596681169.311,332653397.464,154047034.73499998,141843291.85900003,575585225.22,1104930888.8909998,1057771971.3239999,349083941.45899993,7287419717.156,744896199.4629999,187375144.612,550144686.5979999,186796380.513853,230426359.713,41168256.7507
2008,387334723.41499996,1677972935.3990002,272668196.414,132626886.722891,367970675.316,381066825.50589997,555205379.2470001,181601986.05028,60174632.0765,96401080.034,2676527149.452,647363044.447,304477562.09800005,152104142.04200003,109639577.029,597410288.9139999,1197272523.412,1155007696.4959998,336274443.128,7464376321.073001,807665444.851,197839225.835,509341551.7509999,167991769.609588,208206886.87579998,46972744.457399994
2009,371352250.114,1364370142.02,261692974.41,114382401.09072001,366686932.647,389261713.2117,591803364.751,160619738.87964,69230611.167,82331744.504,2253135090.004,571572185.681,273002575.577,120996608.62100002,103473146.128,430567503.777,1233774433.711,1270841671.578,341507926.33,8855083959.52,909754968.887,139536191.15899998,468594034.11300004,193138964.17657906,207306332.5219,63964627.2567
