Index,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
2009,54082029.96,621027.3223,118369123.9,61720.39956,2937473.082,11820.35905,12781559.55,61508922.54,496662565.3,318942601.6,11792136.38,88567756.11,1387713032,84051440.35,55370151.61,68420824.93,33007752.17,93826965.64,53909966.68,35450.89439,2724010.221,40107781.98,34300777.87,155128098.6,162585022.6,49168223.64
2010,48521516.82,27924601.89,344442004.9,57424998.76,110693809.8,51570091.38,19113393.55,101847053.6,60638614.68,323116493.9,74397223.33,269955877.6,1593044385,161153554.3,62099311.39,155019111.2,39644036.28,95876252.57,33686991.22,89213553.57,11648518.11,154984761.4,117542620.1,94650785.19,96058848.69,49934078.27
2011,48203557.15,25686449.25,324754149.4,87561645.02,83897794.24,51368730.79,21323010.08,129939870.3,179140534.5,304741282.6,65746505.82,242902455.4,1505592284,180068228.4,66342131.42,116752703.8,37723273.82,134814682.8,53142255.78,75989841.7,39625666,127670370.3,118024179.5,88822661.15,114036226,44452512.64
2012,43648290.81,17905786.09,253978525.1,51148763.8,101311563.5,44147714.58,18734498.88,86089430.99,200994585.6,316256327,58226953.91,236553996.5,1480302344,175029443.7,70007937.83,135561405,39786486.19,136295560.5,53530406.79,71773889.41,40547705.4,105541058.4,99672034.88,85528399.45,184444220.6,284288704
2013,50476859.22,14371988.99,301939812.6,88714285.61,81112153.24,2251318.306,16368328.85,77044750.68,219444024.6,340391366.7,62629817.34,270960021.2,1514653934,169480011.4,67375467.78,101021358.1,36919045.83,140757006.2,48483473.23,62155450.31,40170848.09,97636808.49,73972266.8,10250780.05,119802546.3,42880549.48
2014,55660588,14507584.5,396056727.8,115903911.5,90202449.7,425963.7,17504901.17,11283347.25,83598904.42,372737666.2,69542637.19,310166864.6,1628369348,186876228.6,70165286.81,97321521.66,40741568.04,145406820.9,51126501.05,81989562.56,42459020.11,17002897.82,42160186.86,75110407.52,117132719.5,47764888.31
2015,50039107.52,13549816.78,425702851.7,138759015,93464751.13,13517544.03,14553300.67,30350880.54,79923299.11,386958057.7,71578662.87,315733289,1695799831,186287217.7,69333685.6,111713667.6,45506544.37,154186625.5,44855083.59,97432078.23,44256686.04,140915.0571,13635649.38,85125795.36,89783810.56,33962630.05
2016,58637473.36,10555515.57,407815627.1,149413684,85118044.74,43709309.88,11142913.02,66700386.23,210613876.3,421417712.7,63786430.45,284413244.1,1627017749,174906940.3,67015976.72,85385339.18,46873311.5,163565027.1,38085838.19,84209337.23,40168358.48,34895478.59,60841958.89,71303448.02,100903937.6,48914642.6
2017,60541330.27,35320688.1,425167467.9,124374128.8,87191878.53,32806876.65,18765487.97,105062026.6,223558638.6,404185446.1,82629252.48,324062876.2,1815525522,203255111.3,86532602.61,119244456.5,46201464.93,159206677.2,55652704.48,92382402.08,54493485.22,142485294,97931701.83,103460806,152969369.1,86820941.88
2018,61059294.97,37264957.27,427951946.3,126422131.5,90019478.38,33685496.58,19916661.77,108774639.7,230768976.1,422880410.3,85465610.63,323778955.8,1918572789,211851990.2,91408729.44,120333291.8,46687991.33,163216807.7,57509109.77,95683769.03,56316347.27,148052284.4,101414463.3,107992241.6,157172606.7,90400064.56
