Time,type_data,unit,Region,category,technology,sub_technology,material,value,min,max
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,tantalum,64.0,,
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,cobalt,0.0,,
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,lead,25.401,,
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,manganese,793.04,,
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,nickel,457.973,,
#
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,steel,153329.5748,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,aluminium,5072.383578,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,concrete,867160.6581,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,plastics,2917.325,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,copper,8689.336521,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,tantalum,0.0,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,cobalt,0.0,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,lead,0.0,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,manganese,0.0,,
2020,inflow,kg/MW,World,generation,Geothermal,GEO_tech1,nickel,0.0,,
#
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,steel,151660.09430000003,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,aluminium,5241.283019,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,concrete,0.0,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,plastics,4883.339623,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,glass,17.075471699999998,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,copper,145.66660380000002,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,tantalum,0.0,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,cobalt,0.0,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,lead,758.1132075,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,manganese,0.0,,
2020,inflow,kg/MW,World,generation,Hydrogen power,H2P_tech1,nickel,0.0,,
#
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,steel,43456.66667,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,aluminium,78.666667,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,concrete,235233.3333,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,copper,764.8,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,tantalum,0.0,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,cobalt,0.121,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,lead,33.767,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,manganese,438.5,,
2020,inflow,kg/MW,World,generation,Nuclear,NUC_tech1,nickel,406.5,,
#
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,steel,0,,
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,aluminium,0,,
