Time,type_data,unit,Region,sector,technology,sub_technology,material,value,min,max
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,chromium,345,75.315,510
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,cobalt,5,3,6720
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,concrete,12121.212121212122,12121.212121212122,12121.212121212122
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,copper,7428.535353535353,11007.070707070707,11007.070707070707
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,dysprosium,6,6,50.625
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,gallium,0.065,0.03,0.1
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,glass,9790.90909090909,1484,10000
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,graphite,7,5,9
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,indium,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,lead,7633.737373737374,56.5,8547.474747474747
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,lithium,1.45,0.9,2
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,manganese,5100,111,7800
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,molybdenum,0,37.657000000000004,37.657000000000004
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,neodymium,51,12,150
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,nickel,4000,116,6100
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,niobium,0.8,0.4,7
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,plastics,19000,10000,28000
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,praseodymium,4,6,88
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,selenium,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,silicon,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,silver,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,steel,274500,500,419000
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,tantalum,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,tellurium,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,terbium,1,0.4,0.8
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,tin,0.7,0.4,1
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,titanium,130.5,61,200
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,vanadium,0.00035,0.0001,0.0006
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,zinc,75,20,478.7878787878788
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,aluminium,1600,600,2600
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,boron,0,239,845.5
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,cadmium,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,chromium,345,75.315,510
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,cobalt,5,3,6720
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,concrete,12121.212121212122,12121.212121212122,12121.212121212122
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,copper,7428.535353535353,11007.070707070707,11007.070707070707
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,dysprosium,17,6,50.625
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,gallium,0.065,0.03,0.1
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,glass,9790.90909090909,1484,10000
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,graphite,7,5,9
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,indium,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,lead,7633.737373737374,56.5,8547.474747474747
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,lithium,1.45,0.9,2
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,manganese,5100,111,7800
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,molybdenum,0,37.657000000000004,37.657000000000004
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,neodymium,180,12,150
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,nickel,4000,116,6100
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,niobium,0.8,0.4,7
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,plastics,19000,10000,28000
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,praseodymium,35,6,88
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,selenium,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,silicon,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,silver,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,steel,274500,500,419000
