Time,unit,Region,sector,technology,sub_technology,material,value,min,max
2020,kg/count,World,vehicles,MFT,HEV,steel,5283.018,5220.272094347333,5408.509811305335
2020,kg/count,World,vehicles,MFT,HEV,aluminium,74.06099999999999,69.35207645595358,76.41546177202319
2020,kg/count,World,vehicles,MFT,HEV,copper,24.687,22.460016821823555,29.140966356352898
2020,kg/count,World,vehicles,MFT,HEV,plastics,1612.884,1612.884,1612.884
2020,kg/count,World,vehicles,MFT,HEV,glass,111.629,111.629,111.629
2020,kg/count,World,vehicles,MFT,HEV,rubber,893.032,893.032,893.032
2020,kg/count,World,vehicles,MFT,HEV,lead,0,0,0
2020,kg/count,World,vehicles,MFT,PHEV,steel,5283.018,5220.272094347333,5408.509811305335
2020,kg/count,World,vehicles,MFT,PHEV,aluminium,74.06099999999999,69.35207645595358,76.41546177202319
2020,kg/count,World,vehicles,MFT,PHEV,copper,24.687,22.460016821823555,29.140966356352898
2020,kg/count,World,vehicles,MFT,PHEV,plastics,3125.612,3125.612,3125.612
2020,kg/count,World,vehicles,MFT,PHEV,glass,111.629,111.629,111.629
2020,kg/count,World,vehicles,MFT,PHEV,rubber,893.032,893.032,893.032
2020,kg/count,World,vehicles,MFT,PHEV,lead,0,0,0
2020,kg/count,World,vehicles,MFT,BEV,steel,5283.018,5220.272094347333,5408.509811305335
2020,kg/count,World,vehicles,MFT,BEV,aluminium,74.06099999999999,69.35207645595358,76.41546177202319
2020,kg/count,World,vehicles,MFT,BEV,copper,47.841,43.52532364292383,56.47235271415234
2020,kg/count,World,vehicles,MFT,BEV,plastics,3125.612,3125.612,3125.612
2020,kg/count,World,vehicles,MFT,BEV,glass,111.629,111.629,111.629
2020,kg/count,World,vehicles,MFT,BEV,rubber,410.144,410.144,410.144
2020,kg/count,World,vehicles,MFT,BEV,lead,0,0,0
2020,kg/count,World,vehicles,MFT,FCV,steel,5283.018,5220.272094347333,5408.509811305335
2020,kg/count,World,vehicles,MFT,FCV,aluminium,143.523,134.39756510427657,148.0857174478617
