,NiMH,LMO,NMC,NCA,LFP,Lithium Sulfur,Lithium Ceramic ,Lithium-air
2049,0.06590476126447038,0.061241134222189735,0.17443824392974513,0.0743377345304362,0.17912765815418163,0.06578362304360458,0.29882447973966425,0.0803423651157083
2050,0.06521472576505301,0.0611744647711315,0.17164811083532638,0.07404768064895564,0.17671271670052355,0.07057340317487151,0.2935837798054977,0.08704511829864063
2051,0.065214725765053,0.061174464771131525,0.17164811083532636,0.07404768064895563,0.1767127167005236,0.07057340317487153,0.2935837798054977,0.08704511829864063
2052,0.06521472576505301,0.06117446477113152,0.1716481108353264,0.07404768064895566,0.17671271670052363,0.07057340317487153,0.2935837798054977,0.08704511829864062
2053,0.06521472576505301,0.06117446477113153,0.1716481108353264,0.07404768064895563,0.17671271670052352,0.07057340317487151,0.29358377980549777,0.0870451182986406
2054,0.065214725765053,0.0611744647711315,0.17164811083532636,0.07404768064895564,0.1767127167005236,0.0705734031748715,0.2935837798054977,0.08704511829864062
2055,0.065214725765053,0.06117446477113152,0.1716481108353264,0.07404768064895563,0.17671271670052355,0.07057340317487151,0.2935837798054978,0.08704511829864064
2056,0.06521472576505298,0.06117446477113151,0.1716481108353264,0.07404768064895563,0.1767127167005236,0.0705734031748715,0.2935837798054977,0.08704511829864062
2057,0.065214725765053,0.061174464771131504,0.17164811083532636,0.07404768064895562,0.17671271670052358,0.07057340317487151,0.2935837798054977,0.08704511829864062
2058,0.06521472576505301,0.06117446477113152,0.1716481108353264,0.07404768064895563,0.17671271670052355,0.07057340317487154,0.29358377980549777,0.08704511829864062
2059,0.06521472576505301,0.0611744647711315,0.17164811083532636,0.07404768064895563,0.17671271670052366,0.0705734031748715,0.2935837798054977,0.08704511829864059
2060,0.065214725765053,0.06117446477113152,0.17164811083532638,0.07404768064895563,0.17671271670052358,0.07057340317487151,0.2935837798054977,0.08704511829864062
