regions,flow,sector,category,materials,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Brazil,stock,electricity,storage,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,stock,electricity,storage,Cu,0.13855253116992564,0.1470328423478408,0.15259596376688978,0.16043209522033253,0.16777965914466017,0.17646865728767083,0.1844105304612834,0.19421747784304788,0.20071823410750336,0.20859584661040118,0.21902005764241303,0.21428416855652715,0.22956422581041924,0.24147301563767465,0.25555274415291196,0.2655633098883919,0.27812764012079905,0.29719092056073326,0.31226572818368403,0.31190084642422217,0.3456467288341138,0.35917316307031383,0.37424214470317274,0.385708974922049,0.4034255194923165,0.41228521914502264,0.4005773677160404,0.43399256692831,0.4705465765625457,0.5016135522083338,0.471105638571774,0.4989658144912225,0.5337061351499177,0.5526911142830153,0.581809645802435,0.6122876721098229,0.6459980159801533,0.6813384718782253,0.7289467151130218,0.7756804772350089,0.831353638554161,0.8684739344253387,0.9095116260343777,0.9389515191672722,0.9674004113855172,0.9886979007658325,1.1242418906522493,1.2349292938111482,1.3360311954716793,1.4349524290407747,1.5192376103007479,1.58092610638989,1.6349516777110247,1.664286703022263,1.6723085087799374,1.694668658753034,1.7367218204351078,1.776240676427163,1.8148693211331601,1.858423257862933,1.8824921707300128,1.92074154348102,1.9704092742133388,2.0220007468740357,2.09023416023253,2.1632734328179164,2.2355483355032306,2.318946218472193,2.3966928910519134,2.4638222792879754,2.518715340533808
Brazil,stock,electricity,storage,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,stock,electricity,storage,Nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,stock,electricity,storage,Pb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,stock,electricity,storage,Plastics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,stock,electricity,storage,Steel,6.044549905550979,6.414515460829385,6.657214491761128,6.9990767965262535,7.319624652634022,7.698694471576946,8.045169908265883,8.47301184207716,8.756616517737198,9.100288491885111,9.55505942444724,9.348449572681464,10.015063656530659,10.534601436300848,11.148849483220934,11.585574555364843,12.133711211392194,12.965373751294658,13.623033530037738,13.60711504781248,15.079326840776975,15.669436643134821,16.32684225482976,16.827098922327743,17.60000820738124,17.986525120834784,17.47575356255508,18.93353883386692,20.528259144036824,21.883599844923733,20.55264901397672,21.76808854655373,23.28368411296592,24.11193064774133,25.38226772104697,26.71191467503701,28.182576049007817,29.724353363049325,31.801330230367654,33.84015662375957,36.26897693582362,37.88840228307313,39.67872955349465,40.96308648117591,42.20420959396787,43.13334265516308,49.046640697052496,53.875535028035536,58.28624831470726,62.60182687525867,66.27888697746273,68.97013476673547,71.3270766375844,72.6068585583991,72.95682116698856,73.93231429776525,75.76694288467826,77.49100880564863,79.17623800166263,81.07634002017753,82.12638034617487,83.79506326735464,85.96188818619187,88.21263906432625,91.18941811548395,94.37585956465567,97.52895429711086,101.1673047578826,104.55911318195463,107.48772757748907,109.88251492180666
C.Europe,inflow,electricity,storage,Aluminium,0.004429846362363202,0.0035527170667594052,0.0031655647103674806,0.0027050113993429313,0.0028386348715342576,0.001709440548319321,0.0031521348605575523,0.0035702928798540417,0.004283437035406298,0.004150158466222672,0.00396506910614525,0.0036840738196542286,0.0036392213147726496,0.003922533797366997,0.0048849675374014,0.004276954074631801,0.003958177916254449,0.0035848724018395384,0.0026176664148801257,0.0014294774825826663,0.0028838671491432715,0.002040944281773414,0.002040944281773414,0.0020116936305862236,0.0020116936305862236,0.0,8.528480772577197e-05,0.0006811347305226713,0.0015171714207237342,0.0038857768330462306,0.0038857768330462306,0.006562991710595525,0.006323411840162094,0.006915524690294645,0.004952451987206878,0.007114630375266022,0.007017932435783694,0.010826464616629495,0.017041609069115646,0.027751683346812838,0.03878392860813782,0.053968674353486006,0.07828705756650198,0.20272736330485933,0.39744248672861243,0.5973148942841277,0.686055412766576,0.7187610416250029,0.6579816108815376,0.4641687840668179,0.26277375449759044,0.1634374210372031,0.1110767507294341,0.05540460393090708,0.06282002579454882,0.07208426045651747,0.07378730930590774,0.07560087414830043,0.06227966585023835,0.04284634039063127,0.026168023063025823,0.017210241700433556,0.0065685328611579386,0.004257718970035113,0.004257718970035113,4.656612873077393e-17,4.656612873077393e-17,4.656612873077393e-17,4.656612873077393e-17,4.656612873077393e-17,4.656612873077393e-17
C.Europe,inflow,electricity,storage,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Europe,inflow,electricity,storage,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
