type,years,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
aboveground,2001,88385.77834902247,369766.0227041551,32208.26949376813,6736.86251011783,82483.35301480223,62914.04476379893,34816.190869522805,17205.267425882572,8963.379941485593,32928.9231213064,210060.79773276593,77476.54014696463,15965.511688267512,59541.7141113999,33938.342947003446,148813.6887941472,58559.70817719411,104359.27286839973,5580.730891419102,119584.36165207453,27694.865790946147,12438.36322786017,28384.66864543468,46408.381542245894,17808.41093164174,18522.303963806753
aboveground,2002,89130.80672458223,382737.14802076557,34210.57293532027,7014.453502523823,85059.2333709942,64780.029765270985,36177.19197255434,18132.15225810783,9680.680009672167,32956.772773698984,212537.3006976927,76658.28412708073,17285.843761353877,60266.84994311915,35934.21441043338,151484.54962763487,61512.98227638537,109195.75139383302,6005.0078633933745,130707.76997836313,29399.62108826711,12684.72813972148,28352.10923100266,47136.53293571978,18539.293973694148,19668.32224382197
aboveground,2003,88698.7092847168,395883.47665144206,36356.117709986655,7259.056221547761,87764.08782882082,65728.4046934966,38125.49759973062,18607.596055585433,10456.52001254955,32982.27102878868,215757.71911155092,77349.77765012186,18533.807240977436,59427.377394625575,35770.71372294301,149669.57011683955,65447.468112374125,114405.89666091722,6335.443961759263,143469.02691247663,30745.08910083533,12808.219381841942,28231.42363405433,49057.820208077974,19162.670026640608,21166.768782610266
aboveground,2004,88068.21644780136,405210.03108429944,38338.47125965075,7534.838688211083,90981.2705124374,66846.7964329073,40422.064934179805,19148.326417479977,11149.059041093207,32917.06682398172,219806.52684529172,78716.1264590965,19759.285155837224,59186.48548460295,35607.213035452645,147485.9407205014,69557.38566262052,119883.98458430803,6717.169901443084,161528.70646780008,32129.17589151966,13203.072341215944,28064.732197149548,50768.27790559153,19661.05903879263,22612.67382695325
aboveground,2005,87493.59137630538,410456.6253927468,40798.840244076135,7849.205666148799,93068.82351380675,68225.13439554488,42484.01218015128,19821.419379241022,11854.988958086584,33324.98527014032,225393.80957400275,81334.2415041797,20631.868898433953,58145.589472712054,35443.76056641779,145711.6646187362,73996.51901275963,125299.62690982365,7084.271116105753,184057.2137652778,33311.0511615516,13609.691384814416,28214.883318039163,52265.831633128604,20347.588619327955,24025.056266627707
aboveground,2006,87215.46878401967,412947.2526110771,42662.01803801934,8151.002161309244,94871.91074029011,69984.1837333532,44453.44296482763,20497.709491517653,12465.963665381365,33723.783338807385,229620.4118643609,85449.92294672292,21381.655783480364,57265.22437858319,35370.58384566169,143316.3466284704,78719.40856463509,131171.60393980742,7351.08260553947,210110.74265233055,34698.58637552724,14100.389919097766,28402.714627105,53392.19973514338,20917.507457491094,24956.11833093471
aboveground,2007,86862.19723448009,416784.2120260076,44105.495221416524,8477.095777574688,97031.05125117098,71795.61008997283,47504.66738403863,21302.31103071293,13883.16844618377,34124.19359015497,234179.71971263355,89460.02537040919,21956.887974826055,56725.214603473054,35299.08064478021,145093.19039888104,84461.79038487667,137807.30423085653,7465.203388402485,239477.87344168764,36564.7420300467,14626.377447159226,28446.582416966052,54695.626209759736,21536.226242959237,25260.309209228886
aboveground,2008,86795.27627918463,428877.78907283855,45284.014629930665,8825.161119392944,100855.8880909228,74543.48853180319,50177.00224536261,22183.080249568597,15337.076240175365,34530.08356652157,243276.80273721323,92570.7528924093,23336.499271498138,56657.27635789975,35385.30302112253,147577.6148771625,91294.21746863826,147337.66968627318,7737.021360063664,270322.3211463882,38466.68259143529,15155.042708582772,28809.467941757717,54936.929703976675,22422.03388803393,25203.544930378877
aboveground,2009,88039.53950893291,442912.59657148743,46360.273834225794,9248.41438813061,104228.24377426646,77930.02079588297,53295.76547981269,23215.484201815714,16961.15580003016,34981.21404314289,256479.27211778495,94920.12335354139,24982.51512773634,56912.24451298759,35859.621634367264,150242.7441707882,97877.16925424247,158518.40406821584,8209.437271739847,300598.8134842368,40559.48411601713,15949.02229514001,29486.082481712085,55872.895711425386,23902.57879135153,25143.87396494854
aboveground,2010,87497.20040454257,443953.2151945856,46233.54795902828,9577.74387331061,107759.32046381796,81055.02239850066,56657.34628259589,24002.676781810882,18654.725368281783,34834.81921846412,262468.15576782706,97001.94139482097,27144.04314039027,56486.03941397049,37032.14258073663,152393.36803650067,106287.37624325258,173240.2940027072,8664.421532088945,329967.2743928364,42907.66374532412,17080.29503623532,29574.193970627093,56816.17945531062,25174.48565822085,24805.50484720435
