year,region,region_name,shipping_type,source,ton_km_mega
1982,23,JAP,international shipping,preprocessed,3538610.0
1982,24,OCE,international shipping,preprocessed,470112.7
1982,25,RSAS,international shipping,preprocessed,227370.8
1982,26,RSAF,international shipping,preprocessed,226537.8
1982,27,Unused,international shipping,preprocessed,0.0
1982,28,World Total,international shipping,preprocessed,48127250.0
1983,1,CAN,international shipping,preprocessed,1128695.0
1983,2,USA,international shipping,preprocessed,4096341.0
1983,3,MEX,international shipping,preprocessed,306169.7
1983,4,RCAM,international shipping,preprocessed,806445.9
1983,5,BRA,international shipping,preprocessed,458830.9
1983,6,RSAM,international shipping,preprocessed,816551.6
1983,7,NAF,international shipping,preprocessed,874836.7
1983,8,WAF,international shipping,preprocessed,736198.1
1983,9,EAF,international shipping,preprocessed,137936.9
1983,10,SAF,international shipping,preprocessed,471266.6
1983,11,WEU,international shipping,preprocessed,19644330.0
1983,12,CEU,international shipping,preprocessed,1608811.0
1983,13,TUR,international shipping,preprocessed,163959.3
1983,14,UKR,international shipping,preprocessed,216670.3
1983,15,STAN,international shipping,preprocessed,112489.0
1983,16,RUS,international shipping,preprocessed,668090.0
1983,17,ME,international shipping,preprocessed,4056661.0
1983,18,INDIA,international shipping,preprocessed,281587.3
1983,19,KOR,international shipping,preprocessed,409570.7
1983,20,CHN,international shipping,preprocessed,1228638.0
1983,21,SEAS,international shipping,preprocessed,1237948.0
1983,22,INDO,international shipping,preprocessed,483233.5
1983,23,JAP,international shipping,preprocessed,3367139.0
1983,24,OCE,international shipping,preprocessed,447707.2
1983,25,RSAS,international shipping,preprocessed,213702.8
1983,26,RSAF,international shipping,preprocessed,221141.1
1983,27,Unused,international shipping,preprocessed,0.0
1983,28,World Total,international shipping,preprocessed,44194950.0
1984,1,CAN,international shipping,preprocessed,1212045.0
1984,2,USA,international shipping,preprocessed,4287999.0
1984,3,MEX,international shipping,preprocessed,318926.0
1984,4,RCAM,international shipping,preprocessed,806929.5
1984,5,BRA,international shipping,preprocessed,464877.7
1984,6,RSAM,international shipping,preprocessed,779142.9
1984,7,NAF,international shipping,preprocessed,886724.3
1984,8,WAF,international shipping,preprocessed,656153.9
1984,9,EAF,international shipping,preprocessed,137902.6
1984,10,SAF,international shipping,preprocessed,453449.4
1984,11,WEU,international shipping,preprocessed,19395760.0
1984,12,CEU,international shipping,preprocessed,1647493.0
1984,13,TUR,international shipping,preprocessed,192247.6
1984,14,UKR,international shipping,preprocessed,240088.2
1984,15,STAN,international shipping,preprocessed,125742.7
1984,16,RUS,international shipping,preprocessed,743450.2
1984,17,ME,international shipping,preprocessed,3875996.0
1984,18,INDIA,international shipping,preprocessed,292733.9
1984,19,KOR,international shipping,preprocessed,464864.4
1984,20,CHN,international shipping,preprocessed,1341257.0
1984,21,SEAS,international shipping,preprocessed,1351333.0
1984,22,INDO,international shipping,preprocessed,528892.3
1984,23,JAP,international shipping,preprocessed,3535429.0
1984,24,OCE,international shipping,preprocessed,460089.4
1984,25,RSAS,international shipping,preprocessed,226315.2
1984,26,RSAF,international shipping,preprocessed,214568.5
1984,27,Unused,international shipping,preprocessed,0.0
1984,28,World Total,international shipping,preprocessed,44640410.0
1985,1,CAN,international shipping,preprocessed,1379075.0
1985,2,USA,international shipping,preprocessed,4801011.0
1985,3,MEX,international shipping,preprocessed,325088.8
1985,4,RCAM,international shipping,preprocessed,813868.1
1985,5,BRA,international shipping,preprocessed,484857.6
1985,6,RSAM,international shipping,preprocessed,750856.9
1985,7,NAF,international shipping,preprocessed,914020.1
1985,8,WAF,international shipping,preprocessed,608595.8
1985,9,EAF,international shipping,preprocessed,144886.1
1985,10,SAF,international shipping,preprocessed,443948.3
1985,11,WEU,international shipping,preprocessed,20514680.0
1985,12,CEU,international shipping,preprocessed,1767885.0
1985,13,TUR,international shipping,preprocessed,228084.7
1985,14,UKR,international shipping,preprocessed,270013.7
1985,15,STAN,international shipping,preprocessed,141074.7
1985,16,RUS,international shipping,preprocessed,834883.4
1985,17,ME,international shipping,preprocessed,3575435.0
1985,18,INDIA,international shipping,preprocessed,317727.5
1985,19,KOR,international shipping,preprocessed,542222.6
1985,20,CHN,international shipping,preprocessed,1546020.0
1985,21,SEAS,international shipping,preprocessed,1509513.0
1985,22,INDO,international shipping,preprocessed,572538.0
1985,23,JAP,international shipping,preprocessed,3847886.0
1985,24,OCE,international shipping,preprocessed,495598.8
1985,25,RSAS,international shipping,preprocessed,248987.6
1985,26,RSAF,international shipping,preprocessed,209051.4
1985,27,Unused,international shipping,preprocessed,0.0
1985,28,World Total,international shipping,preprocessed,47287800.0
1986,1,CAN,international shipping,preprocessed,1539957.0
1986,2,USA,international shipping,preprocessed,5199225.0
1986,3,MEX,international shipping,preprocessed,339560.8
1986,4,RCAM,international shipping,preprocessed,753788.1
1986,5,BRA,international shipping,preprocessed,490458.9
1986,6,RSAM,international shipping,preprocessed,714518.7
1986,7,NAF,international shipping,preprocessed,904154.6
1986,8,WAF,international shipping,preprocessed,575073.8
1986,9,EAF,international shipping,preprocessed,142253.5
1986,10,SAF,international shipping,preprocessed,414410.2
1986,11,WEU,international shipping,preprocessed,20884110.0
1986,12,CEU,international shipping,preprocessed,1773549.0
1986,13,TUR,international shipping,preprocessed,254843.4
1986,14,UKR,international shipping,preprocessed,276394.4
1986,15,STAN,international shipping,preprocessed,143546.1
1986,16,RUS,international shipping,preprocessed,853344.9
1986,17,ME,international shipping,preprocessed,3048107.0
1986,18,INDIA,international shipping,preprocessed,322727.1
1986,19,KOR,international shipping,preprocessed,605797.9
1986,20,CHN,international shipping,preprocessed,1765418.0
1986,21,SEAS,international shipping,preprocessed,1539313.0
1986,22,INDO,international shipping,preprocessed,527474.9
1986,23,JAP,international shipping,preprocessed,4067258.0
1986,24,OCE,international shipping,preprocessed,500904.6
1986,25,RSAS,international shipping,preprocessed,260535.7
1986,26,RSAF,international shipping,preprocessed,201247.7
1986,27,Unused,international shipping,preprocessed,0.0
1986,28,World Total,international shipping,preprocessed,48097970.0
1987,1,CAN,international shipping,preprocessed,1553550.0
1987,2,USA,international shipping,preprocessed,5282393.0
1987,3,MEX,international shipping,preprocessed,320457.3
1987,4,RCAM,international shipping,preprocessed,664731.6
1987,5,BRA,international shipping,preprocessed,459925.2
1987,6,RSAM,international shipping,preprocessed,662690.3
1987,7,NAF,international shipping,preprocessed,801089.8
1987,8,WAF,international shipping,preprocessed,489083.8
1987,9,EAF,international shipping,preprocessed,138414.3
1987,10,SAF,international shipping,preprocessed,376191.2
1987,11,WEU,international shipping,preprocessed,21237270.0
1987,12,CEU,international shipping,preprocessed,1670828.0
1987,13,TUR,international shipping,preprocessed,255534.8
1987,14,UKR,international shipping,preprocessed,266420.4
1987,15,STAN,international shipping,preprocessed,137558.8
1987,16,RUS,international shipping,preprocessed,820979.3
1987,17,ME,international shipping,preprocessed,2525428.0
1987,18,INDIA,international shipping,preprocessed,306672.5
1987,19,KOR,international shipping,preprocessed,621212.6
1987,20,CHN,international shipping,preprocessed,1910083.0
1987,21,SEAS,international shipping,preprocessed,1417144.0
1987,22,INDO,international shipping,preprocessed,444505.2
1987,23,JAP,international shipping,preprocessed,4082197.0
1987,24,OCE,international shipping,preprocessed,491467.7
1987,25,RSAS,international shipping,preprocessed,248178.1
1987,26,RSAF,international shipping,preprocessed,184158.5
1987,27,Unused,international shipping,preprocessed,0.0
1987,28,World Total,international shipping,preprocessed,47368170.0
1988,1,CAN,international shipping,preprocessed,1634580.0
1988,2,USA,international shipping,preprocessed,5614237.0
1988,3,MEX,international shipping,preprocessed,324908.1
1988,4,RCAM,international shipping,preprocessed,636454.1
1988,5,BRA,international shipping,preprocessed,468030.3
1988,6,RSAM,international shipping,preprocessed,668674.6
1988,7,NAF,international shipping,preprocessed,783660.6
1988,8,WAF,international shipping,preprocessed,467864.7
1988,9,EAF,international shipping,preprocessed,148304.6
1988,10,SAF,international shipping,preprocessed,390244.0
1988,11,WEU,international shipping,preprocessed,24297840.0
1988,12,CEU,international shipping,preprocessed,1708925.0
1988,13,TUR,international shipping,preprocessed,283402.9
1988,14,UKR,international shipping,preprocessed,281967.7
1988,15,STAN,international shipping,preprocessed,145382.0
1988,16,RUS,international shipping,preprocessed,869813.9
1988,17,ME,international shipping,preprocessed,2125430.0
1988,18,INDIA,international shipping,preprocessed,318644.7
1988,19,KOR,international shipping,preprocessed,706976.2
1988,20,CHN,international shipping,preprocessed,2248941.0
1988,21,SEAS,international shipping,preprocessed,1485760.0
1988,22,INDO,international shipping,preprocessed,420304.3
1988,23,JAP,international shipping,preprocessed,4393504.0
1988,24,OCE,international shipping,preprocessed,517072.0
1988,25,RSAS,international shipping,preprocessed,255757.5
1988,26,RSAF,international shipping,preprocessed,197833.9
1988,27,Unused,international shipping,preprocessed,0.0
1988,28,World Total,international shipping,preprocessed,51394510.0
1989,1,CAN,international shipping,preprocessed,1623492.0
1989,2,USA,international shipping,preprocessed,5599763.0
1989,3,MEX,international shipping,preprocessed,316686.8
1989,4,RCAM,international shipping,preprocessed,575814.4
1989,5,BRA,international shipping,preprocessed,452605.5
1989,6,RSAM,international shipping,preprocessed,636384.1
1989,7,NAF,international shipping,preprocessed,721550.7
1989,8,WAF,international shipping,preprocessed,389307.8
1989,9,EAF,international shipping,preprocessed,150496.9
1989,10,SAF,international shipping,preprocessed,395801.5
1989,11,WEU,international shipping,preprocessed,25507140.0
1989,12,CEU,international shipping,preprocessed,1638851.0
1989,13,TUR,international shipping,preprocessed,279958.9
1989,14,UKR,international shipping,preprocessed,273598.8
1989,15,STAN,international shipping,preprocessed,141991.7
1989,16,RUS,international shipping,preprocessed,844844.4
1989,17,ME,international shipping,preprocessed,1786798.0
1989,18,INDIA,international shipping,preprocessed,307246.3
1989,19,KOR,international shipping,preprocessed,773082.9
1989,20,CHN,international shipping,preprocessed,2495662.0
1989,21,SEAS,international shipping,preprocessed,1577139.0
1989,22,INDO,international shipping,preprocessed,392673.2
1989,23,JAP,international shipping,preprocessed,4465400.0
1989,24,OCE,international shipping,preprocessed,520238.8
1989,25,RSAS,international shipping,preprocessed,243720.1
1989,26,RSAF,international shipping,preprocessed,194801.3
1989,27,Unused,international shipping,preprocessed,0.0
1989,28,World Total,international shipping,preprocessed,52305040.0
1990,1,CAN,international shipping,preprocessed,1715013.0
1990,2,USA,international shipping,preprocessed,5967994.0
1990,3,MEX,international shipping,preprocessed,366903.6
1990,4,RCAM,international shipping,preprocessed,556864.3
1990,5,BRA,international shipping,preprocessed,486435.6
1990,6,RSAM,international shipping,preprocessed,662465.3
1990,7,NAF,international shipping,preprocessed,751902.8
1990,8,WAF,international shipping,preprocessed,397551.9
1990,9,EAF,international shipping,preprocessed,152311.3
1990,10,SAF,international shipping,preprocessed,407280.0
1990,11,WEU,international shipping,preprocessed,27287160.0
1990,12,CEU,international shipping,preprocessed,1616849.0
1990,13,TUR,international shipping,preprocessed,301915.5
1990,14,UKR,international shipping,preprocessed,274282.7
