! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trp_trvl_pkm.out;;;;;;;;;
real main.em.dem.trp.trvl.ProjT.pkm_global_tot[28,8](t) = [;;;;;;;;;
unit=tera pkm;;conversion factor =1000;;;;;;;
;;walking;cycling;bus;train;car;highspeed train;plane;total
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8
1978;25;0.005764017;0.002470294;0.03715697;0.01319907;0.02337112;0;0.008426147;0.09038761
1978;26;0.007215878;0.003092519;0.03133598;0.0102635;0.006816952;0;0.004672465;0.06339729
1978;27;0;0;0;0;0;0;0;0
1978;28;0.6092016;0.2610864;4.615273;5.189075;9.785865;0;1.419694;21.88019
1979;1;0.004399406;0.001885459;0.06897851;0.0479936;0.4414275;0;0.03962944;0.604314
1979;2;0.03807877;0.01631948;0.7166178;0.3636723;3.538024;0;0.5578879;5.2306
1979;3;0.007773713;0.003331592;0.09094708;0.004576308;0.1146141;0;0.01403907;0.2352819
1979;4;0.003705557;0.001588096;0.04212796;0.000907424;0.05105098;0;0.01277366;0.1121537
1979;5;0.01701899;0.007293848;0.1645449;0.02454867;0.2799385;0;0.02175755;0.5151024
1979;6;0.01662334;0.007124291;0.1968015;0.0169289;0.2394692;0;0.02618072;0.5031279
1979;7;0.005413493;0.002320068;0.05608036;0.007864824;0.05716563;0;0.02074095;0.1495853
1979;8;0.02225906;0.0095396;0.1238626;0.000251922;0.02710621;0;0.01254436;0.1955638
1979;9;0.008387157;0.003594496;0.0444592;0.000114285;0.008953292;0;0.008179496;0.07368793
1979;10;0.02893744;0.01240177;0.09822367;0.07146705;0.03604861;0;0.007160156;0.2542387
1979;11;0.125718;0.05387909;0.6955423;0.623672;2.575302;0;0.2327696;4.306883
1979;12;0.02668385;0.01143594;0.1461323;0.371797;0.3325744;0;0.02552014;0.9141436
1979;13;0.007033288;0.003014266;0.03854618;0.03372872;0.1098281;0;0.002192912;0.1943435
1979;14;0.02017136;0.00864487;0.07230571;0.4258249;0.0996412;0;0.06444875;0.6910368
1979;15;0.01364992;0.005849962;0.1160947;0.2116387;0.04930559;0;0.03015438;0.4266933
1979;16;0.07737987;0.03316279;0.6479119;1.184879;0.2905492;0;0.184994;2.418877
1979;17;0.0172048;0.007373487;0.1705418;0.000470146;0.1992897;0;0.0805221;0.475402
1979;18;0.05501872;0.02357946;0.1495709;0.5259325;0.09345065;0;0.01521594;0.8627682
1979;19;0.003021014;0.00129472;0.04924555;0.002645567;0.04042272;0;0.006865251;0.1034948
1979;20;0.0454087;0.01946088;0.3459689;0.9861931;0.144799;0;0.01379481;1.555625
1979;21;0.01113679;0.004772909;0.1057198;0;0.09626158;0;0.02649754;0.2443886
1979;22;0.004959115;0.002125335;0.04943157;0.001689369;0.04461534;0;0.006003416;0.1088241
1979;23;0.03724124;0.01596054;0.454448;0.1745633;0.5599515;0;0.03365774;1.275822
1979;24;0.002460001;0.001054286;0.04559907;0.02154791;0.2460299;0;0.02122116;0.3379123
1979;25;0.006645961;0.002848268;0.043016;0.01387642;0.02801294;0;0.009818079;0.1042177
1979;26;0.006889715;0.002952736;0.02818541;0.01167528;0.006199593;0;0.00462894;0.06053168
1979;27;0;0;0;0;0;0;0;0
1979;28;0.6132193;0.2628082;4.760903;5.128459;9.710032;0;1.479198;21.95462
1980;1;0.004303677;0.001844433;0.06986117;0.04843593;0.4270308;0;0.03968849;0.5911645
1980;2;0.03615023;0.01549297;0.6774744;0.3463264;3.332048;0;0.5582014;4.965693
1980;3;0.008915605;0.003820972;0.1027399;0.004768855;0.1336191;0;0.01597822;0.2698427
1980;4;0.003738464;0.001602199;0.042526;0.000920323;0.05220224;0;0.0121604;0.1131496
1980;5;0.01618048;0.006934491;0.1564485;0.02583596;0.2626188;0;0.02170568;0.4897239
1980;6;0.01762243;0.007552474;0.2055609;0.01605395;0.2582595;0;0.02831733;0.5333667
1980;7;0.006075136;0.002603631;0.06207804;0.008142767;0.0660238;0;0.02294447;0.1678679
1980;8;0.02517549;0.01078949;0.139202;0.000172641;0.03133047;0;0.01451679;0.2211868
