time,sector,unit,technology,material,min,max
2020,vehicles,fraction,LCV - Trolley,rubber,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,steel,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,titanium,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,wood,0.0,0.0
2020,vehicles,fraction,MFT - BEV,aluminium,0.0081,0.0099
2020,vehicles,fraction,MFT - BEV,cobalt,0.0,0.0
2020,vehicles,fraction,MFT - BEV,copper,0.0027,0.0033
2020,vehicles,fraction,MFT - BEV,glass,0.0063,0.0077
2020,vehicles,fraction,MFT - BEV,lead,0.0,0.0
2020,vehicles,fraction,MFT - BEV,lithium,0.0,0.0
2020,vehicles,fraction,MFT - BEV,manganese,0.0,0.0
2020,vehicles,fraction,MFT - BEV,neodymium,0.0,0.0
2020,vehicles,fraction,MFT - BEV,nickel,0.0,0.0
2020,vehicles,fraction,MFT - BEV,plastics,0.1764,0.2156
2020,vehicles,fraction,MFT - BEV,rubber,0.0504,0.0616
2020,vehicles,fraction,MFT - BEV,steel,0.5778,0.7062
2020,vehicles,fraction,MFT - BEV,titanium,0.0,0.0
2020,vehicles,fraction,MFT - BEV,wood,0.0,0.0
2020,vehicles,fraction,MFT - FCV,aluminium,0.0081,0.0099
2020,vehicles,fraction,MFT - FCV,cobalt,0.0,0.0
2020,vehicles,fraction,MFT - FCV,copper,0.0027,0.0033
2020,vehicles,fraction,MFT - FCV,glass,0.0063,0.0077
2020,vehicles,fraction,MFT - FCV,lead,0.0,0.0
2020,vehicles,fraction,MFT - FCV,lithium,0.0,0.0
2020,vehicles,fraction,MFT - FCV,manganese,0.0,0.0
2020,vehicles,fraction,MFT - FCV,neodymium,0.0,0.0
2020,vehicles,fraction,MFT - FCV,nickel,0.0,0.0
2020,vehicles,fraction,MFT - FCV,plastics,0.1764,0.2156
2020,vehicles,fraction,MFT - FCV,rubber,0.0504,0.0616
2020,vehicles,fraction,MFT - FCV,steel,0.5778,0.7062
2020,vehicles,fraction,MFT - FCV,titanium,0.0,0.0
2020,vehicles,fraction,MFT - FCV,wood,0.0,0.0
2020,vehicles,fraction,MFT - HEV,aluminium,0.0081,0.0099
2020,vehicles,fraction,MFT - HEV,cobalt,0.0,0.0
2020,vehicles,fraction,MFT - HEV,copper,0.0027,0.0033
2020,vehicles,fraction,MFT - HEV,glass,0.0063,0.0077
2020,vehicles,fraction,MFT - HEV,lead,0.0,0.0
2020,vehicles,fraction,MFT - HEV,lithium,0.0,0.0
2020,vehicles,fraction,MFT - HEV,manganese,0.0,0.0
2020,vehicles,fraction,MFT - HEV,neodymium,0.0,0.0
2020,vehicles,fraction,MFT - HEV,nickel,0.0,0.0
2020,vehicles,fraction,MFT - HEV,plastics,0.1764,0.2156
2020,vehicles,fraction,MFT - HEV,rubber,0.0504,0.0616
2020,vehicles,fraction,MFT - HEV,steel,0.5778,0.7062
2020,vehicles,fraction,MFT - HEV,titanium,0.0,0.0
2020,vehicles,fraction,MFT - HEV,wood,0.0,0.0
2020,vehicles,fraction,MFT - ICE,aluminium,0.0081,0.0099
2020,vehicles,fraction,MFT - ICE,cobalt,0.0,0.0
2020,vehicles,fraction,MFT - ICE,copper,0.0027,0.0033
2020,vehicles,fraction,MFT - ICE,glass,0.0063,0.0077
2020,vehicles,fraction,MFT - ICE,lead,0.0,0.0
2020,vehicles,fraction,MFT - ICE,lithium,0.0,0.0
2020,vehicles,fraction,MFT - ICE,manganese,0.0,0.0
2020,vehicles,fraction,MFT - ICE,neodymium,0.0,0.0
2020,vehicles,fraction,MFT - ICE,nickel,0.0,0.0
2020,vehicles,fraction,MFT - ICE,plastics,0.1764,0.2156
2020,vehicles,fraction,MFT - ICE,rubber,0.0504,0.0616
2020,vehicles,fraction,MFT - ICE,steel,0.5778,0.7062
2020,vehicles,fraction,MFT - ICE,titanium,0.0,0.0
2020,vehicles,fraction,MFT - ICE,wood,0.0,0.0
2020,vehicles,fraction,MFT - PHEV,aluminium,0.0081,0.0099
2020,vehicles,fraction,MFT - PHEV,cobalt,0.0,0.0
2020,vehicles,fraction,MFT - PHEV,copper,0.0027,0.0033
2020,vehicles,fraction,MFT - PHEV,glass,0.0063,0.0077
2020,vehicles,fraction,MFT - PHEV,lead,0.0,0.0
2020,vehicles,fraction,MFT - PHEV,lithium,0.0,0.0
2020,vehicles,fraction,MFT - PHEV,manganese,0.0,0.0
