time,Region,Type,Area,Shape,Scale
2050,12,Semi-detached,Rural,2.50000000,95.24000000
2050,12,Appartments,Rural,2.50000000,131.87000000
2050,12,High-rise,Rural,1.96820464,87.57000000
2050,13,Detached,Urban,1.96820464,107.77000000
2050,13,Semi-detached,Urban,1.96820464,107.77000000
2050,13,Appartments,Urban,1.96820464,107.77000000
2050,13,High-rise,Urban,1.96820464,107.77000000
2050,13,Detached,Rural,1.96820464,107.77000000
2050,13,Semi-detached,Rural,1.96820464,107.77000000
2050,13,Appartments,Rural,1.96820464,107.77000000
2050,13,High-rise,Rural,1.96820464,107.77000000
2050,14,Detached,Urban,1.96820464,87.57000000
2050,14,Semi-detached,Urban,1.96820464,87.57000000
2050,14,Appartments,Urban,1.96820464,87.57000000
2050,14,High-rise,Urban,1.96820464,87.57000000
2050,14,Detached,Rural,1.96820464,87.57000000
2050,14,Semi-detached,Rural,1.96820464,87.57000000
2050,14,Appartments,Rural,1.96820464,87.57000000
2050,14,High-rise,Rural,1.96820464,87.57000000
2050,15,Detached,Urban,1.96820464,107.77000000
2050,15,Semi-detached,Urban,1.96820464,107.77000000
2050,15,Appartments,Urban,1.96820464,107.77000000
2050,15,High-rise,Urban,1.96820464,107.77000000
2050,15,Detached,Rural,1.96820464,107.77000000
2050,15,Semi-detached,Rural,1.96820464,107.77000000
2050,15,Appartments,Rural,1.96820464,107.77000000
2050,15,High-rise,Rural,1.96820464,107.77000000
2050,16,Detached,Urban,1.96820464,87.57000000
2050,16,Semi-detached,Urban,1.96820464,87.57000000
2050,16,Appartments,Urban,1.96820464,87.57000000
2050,16,High-rise,Urban,1.96820464,87.57000000
2050,16,Detached,Rural,1.96820464,87.57000000
2050,16,Semi-detached,Rural,1.96820464,87.57000000
2050,16,Appartments,Rural,1.96820464,87.57000000
2050,16,High-rise,Rural,1.96820464,87.57000000
2050,17,Detached,Urban,1.96820464,107.77000000
2050,17,Semi-detached,Urban,1.96820464,107.77000000
2050,17,Appartments,Urban,1.96820464,107.77000000
2050,17,High-rise,Urban,1.96820464,107.77000000
2050,17,Detached,Rural,1.96820464,107.77000000
2050,17,Semi-detached,Rural,1.96820464,107.77000000
2050,17,Appartments,Rural,1.96820464,107.77000000
2050,17,High-rise,Rural,1.96820464,107.77000000
2050,18,Detached,Urban,1.96820464,107.77000000
2050,18,Semi-detached,Urban,1.96820464,107.77000000
2050,18,Appartments,Urban,1.96820464,107.77000000
2050,18,High-rise,Urban,1.96820464,107.77000000
2050,18,Detached,Rural,1.96820464,107.77000000
2050,18,Semi-detached,Rural,1.96820464,107.77000000
2050,18,Appartments,Rural,1.96820464,107.77000000
2050,18,High-rise,Rural,1.96820464,107.77000000
2050,19,Detached,Urban,1.96820464,107.77000000
2050,19,Semi-detached,Urban,1.96820464,107.77000000
2050,19,Appartments,Urban,1.96820464,107.77000000
2050,19,High-rise,Urban,1.96820464,107.77000000
2050,19,Detached,Rural,1.96820464,107.77000000
2050,19,Semi-detached,Rural,1.96820464,107.77000000
2050,19,Appartments,Rural,1.96820464,107.77000000
2050,19,High-rise,Rural,1.96820464,107.77000000
2050,20,Detached,Urban,2.00000000,64.32000000
2050,20,Semi-detached,Urban,2.00000000,75.04000000
2050,20,Appartments,Urban,2.00000000,101.84000000
2050,20,High-rise,Urban,2.00000000,107.20000000
2050,20,Detached,Rural,2.00000000,58.96000000
2050,20,Semi-detached,Rural,2.00000000,58.96000000
2050,20,Appartments,Rural,2.00000000,101.84000000
2050,20,High-rise,Rural,2.00000000,107.20000000
2050,21,Detached,Urban,1.96820464,107.16000000
2050,21,Semi-detached,Urban,1.96820464,107.16000000
2050,21,Appartments,Urban,1.96820464,107.16000000
2050,21,High-rise,Urban,1.96820464,107.16000000
2050,21,Detached,Rural,1.96820464,107.16000000
2050,21,Semi-detached,Rural,1.96820464,107.16000000
2050,21,Appartments,Rural,1.96820464,107.16000000
2050,21,High-rise,Rural,1.96820464,107.16000000
2050,22,Detached,Urban,1.96820464,107.77000000
2050,22,Semi-detached,Urban,1.96820464,107.77000000
2050,22,Appartments,Urban,1.96820464,107.77000000
2050,22,High-rise,Urban,1.96820464,107.77000000
2050,22,Detached,Rural,1.96820464,107.77000000
2050,22,Semi-detached,Rural,1.96820464,107.77000000
2050,22,Appartments,Rural,1.96820464,107.77000000
2050,22,High-rise,Rural,1.96820464,107.77000000
2050,23,Detached,Urban,1.87660579,78.34000000
2050,23,Semi-detached,Urban,1.88764468,80.89000000
2050,23,Appartments,Urban,1.90454391,83.50000000
2050,23,High-rise,Urban,2.55509870,64.69000000
2050,23,Detached,Rural,1.87660579,78.34000000
2050,23,Semi-detached,Rural,1.88764468,80.89000000
2050,23,Appartments,Rural,1.90454391,83.50000000
2050,23,High-rise,Rural,2.55509870,64.69000000
2050,24,Detached,Urban,1.96820464,122.20000000
2050,24,Semi-detached,Urban,1.96820464,122.20000000
2050,24,Appartments,Urban,1.96820464,122.20000000
2050,24,High-rise,Urban,1.96820464,122.20000000
2050,24,Detached,Rural,1.96820464,122.20000000
2050,24,Semi-detached,Rural,1.96820464,122.20000000
2050,24,Appartments,Rural,1.96820464,122.20000000
2050,24,High-rise,Rural,1.96820464,122.20000000
2050,25,Detached,Urban,1.96820464,107.77000000
2050,25,Semi-detached,Urban,1.96820464,107.77000000
2050,25,Appartments,Urban,1.96820464,107.77000000
2050,25,High-rise,Urban,1.96820464,107.77000000
2050,25,Detached,Rural,1.96820464,107.77000000
2050,25,Semi-detached,Rural,1.96820464,107.77000000
2050,25,Appartments,Rural,1.96820464,107.77000000
2050,25,High-rise,Rural,1.96820464,107.77000000
2050,26,Detached,Urban,1.96820464,107.77000000
2050,26,Semi-detached,Urban,1.96820464,107.77000000
2050,26,Appartments,Urban,1.96820464,107.77000000
2050,26,High-rise,Urban,1.96820464,107.77000000
2050,26,Detached,Rural,1.96820464,107.77000000
2050,26,Semi-detached,Rural,1.96820464,107.77000000
2050,26,Appartments,Rural,1.96820464,107.77000000
2050,26,High-rise,Rural,1.96820464,107.77000000
