Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
2029,1170169.154,7846570.075,747626.3334,410071.8443,1485819.389,1242058.077,983353.2843,917149.6427,452834.4196,257560.2548,6749641.514,1545857.711,857334.3986,171915.9576,292958.9453,1012632.325,2626198.466,3343126.576,650310.0784,7856123.341,1660826.168,1447858.195,1771864.263,771521.8958,856386.697,295442.7331
2030,1240475.043,7974872.999,835678.6665,405700.9379,1525809.814,1290301.174,1005375.44,937542.8532,423494.5176,253179.4612,6956193.89,1574942.177,875813.2103,182624.165,300856.9545,1009341.882,2722088.245,3441475.25,653181.7052,7928828.186,1749478.951,1502735.842,1764728.494,800162.3953,874026.8953,279168.09
2031,1290644.022,7724733.466,893749.8223,421599.3442,1660108.456,1361695.08,1089241.777,999968.8555,434909.5592,281799.626,7356775.784,1604195.735,880239.7732,185962.9658,482685.1782,1053420.539,2837792.644,3676283.986,614283.0929,7887375.852,1789762.951,1550814.566,1876724.459,819353.4653,895768.3369,299886.2016
2032,1334106.5,7894214.615,991302.8428,441876.6486,1676728.859,1370221.896,1109652.149,1041729.011,467030.1971,255479.1516,7449683.975,1581420.237,912477.1843,212768.4335,473002.24,886675.2798,2912988.37,3810102.826,736144.7839,7768292.252,1790600.291,1711361.142,1809516.162,827132.0879,864437.6912,329439.6396
2033,1417998.406,8214529,988421.6736,452374.7371,1705711.743,1389953.766,1153865.062,992172.2373,447333.4765,249161.4833,7286033.373,1492198.002,974585.3847,198692.0676,357831.45,812420.777,2929159.835,3731090.764,727740.7682,7336856.086,1831543.58,1698440.665,1715462.364,870049.4633,946983.9791,318019.0657
2034,1515042.551,8565097.306,949277.4744,474553.5422,1818621.742,1443043.102,1227831.527,1007367.621,466472.6293,272247.7569,7479342.094,1547031.851,1028461.929,197717.986,368060.7695,907335.4806,3056544.359,3945535.267,706382.3311,7525622.738,1884171.857,1761648.263,1734291.453,899837.7331,1052371.398,342736.8699
2035,1662532.947,8956930.544,1055948.574,508695.3582,1961348.885,1633460.891,1381536.711,1229657.46,552067.6765,350878.1001,7885676.704,1697206.791,1105430.249,205404.9757,303224.6556,1166455.864,3409385.034,4246330.649,769922.2332,8743480.41,2194306.196,1929809.573,1855760.734,978560.9916,1138021.384,403060.9532
2036,1724089.929,9347291.1,1144715.329,597277.1476,2223965.381,1895404.581,1676670.038,1522593.286,644649.611,394615.3179,8965529.77,1818747.79,1158336.493,208402.9037,331421.2976,1182988.342,3815381.598,4679500.93,772068.2297,8760549.589,2490290.598,2215080.802,2087845.483,1077398.845,1378423.076,460613.2015
2037,1756834.11,9753468.414,1086901.332,613887.4622,2332850.173,1890805.509,1694410.762,1494913.027,638157.41,364184.4756,9141367.167,1812958.438,1159768.77,212285.0469,346788.0777,993973.6204,3788498.948,4715459.482,717740.6258,8004278.782,2367381.803,2278153.899,2055886.151,1117082.282,1395637.596,462794.1567
2038,1745240.141,8886075.66,1136235.642,647638.2387,2455623.171,1998967.088,1797432.935,1571379.026,693992.2858,396075.9355,9580660.124,1881022.75,1212828.888,227473.4717,383104.6926,1087781.396,3914078.346,4900023.996,717946.9551,8485188.756,2449610.608,2417113,2095131.69,1153291.492,1445007.394,511633.3178
2039,1683468.938,9682656.69,1249628.931,692287.3901,2579651.342,2124553.921,1903615.398,1712299.549,762624.6629,429599.7728,10090997.98,1918183.382,1288054.231,245931.3828,425727.4806,1175432.922,4074480.262,5104738.645,764169.3443,8909635.859,2592902.12,2549653.437,2180362.223,1193027.6,1501562.039,563051.4484
2040,1698888.838,10101424.52,1319653.633,753846.1802,2769241.909,2262973.835,1979183.081,1866167.722,835647.2095,473207.1441,10796347.92,1986859.122,1380678.551,265723.0368,471950.4106,1365848.588,4182913.19,5351977.333,827231.11,9377331.993,2763642.192,2656271.611,2323413.711,1248157.804,1595466.136,594518.2162
2041,1705632.309,10420448.03,1348949.274,812120.0847,2909497.831,2367207.355,2124315.3,2000178.096,909145.5838,511063.7824,11194844.75,2012049.71,1396333.665,274772.636,517302.7985,1567247.249,4303557.462,5678525.847,877471.1684,9509433.238,2810104.013,2751178.631,2424909.202,1283427.948,1754719.783,624419.0986
2042,1698099.834,10685074.3,1386657.288,847861.7444,2988539.04,2456206.312,2189075.494,2114355.804,973434.2985,524268.616,11138726.43,2004339.192,1420064.825,306569.3301,522939.2646,1560121.756,4417957.121,5946801.893,958268.6391,9658096.41,2914345.448,2890108.252,2402034.346,1298854.989,1879416.446,661824.0688
2043,1680985.536,10811849.77,1384127.27,870588.9475,3093599.215,2535265,2255288.213,2270106.945,1010029.326,538590.8409,10941937.31,1960763.502,1432461.541,323663.0851,519317.8554,1487324.548,4520433.233,6156684.737,971999.1451,9842055.336,3031057.568,3064625.028,2361309.812,1321135.202,1976018.005,694679.3131
2044,1673820.824,11031180.47,1376316.589,894538.1728,3238074.068,2645788.74,2320900.546,2390978.23,1040117.403,560769.4449,10765256.44,1964475.146,1441995.442,329997.4627,611356.7264,1508868.212,4608898.806,6342070.847,954871.8737,9973359.615,3111574.834,3247261.475,2376192.732,1345440.104,2035850.662,727144.6853
2045,1669931.146,10934036.76,1426147.329,928650.1139,3379110.328,2757976.549,2383138.512,2512265.696,1095230.934,563200.4505,10641237.59,1922093.082,1463026.336,330662.8357,696779.0107,1490702.048,4721289.465,6587499.784,949231.5465,10165794.68,3159060.112,3392653.415,2382178.186,1364462.758,2080884.301,777277.6067
