year,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
2010,55887.86700000003,507607.426351,2541129.746545,93112.20893000008,381543.146,,128446.88799999998,415809.348,137186.209369,751078.5819999999,1010360.35,609482.229,12566204.158,642568.7797429999,188305.11800000002,918906.503,104915.797501,,,193106.204,,,-333393.8282250003,69461.432,247694.233234,
2011,12541.420000000013,498005.67567699996,2165234.936954,-3872.9680570000783,424102.433,,86737.83799999999,729090.402,90810.535,612193.365,1033443.039,430796.35400000005,13266271.302000001,563905.98395,175613.811,844668.941,2978.8521369999507,,,252638.585,,,-354386.2340310002,134250.617,331740.885,
2012,26308.246000000014,520998.227134,3153727.53252,101816.67113199993,426724.798,,-98544.04999999999,669979.171,408546.97617000004,690202.153,961812.0449999999,-597349.369,14618250.77,429388.492077,242743.209,801613.519,53626.20088399999,,,179203.038,,,-426870.23642200045,77862.008,479266.591,
2013,105801.804,547462.268267,3544646.259742,32770.52312499995,414241.334,,-30458.311999999976,688814.5819999999,342804.32092800003,527151.49,982610.621,-392441.629,14845353.972,564730.8088,218739.978,734274.329,46403.610832000035,,,229695.101,,,-434015.9051590003,175146.97,689015.894277,
2014,94250.174,480899.618234,3681332.0705009997,92357.93599999999,429706.814,,49515.53999999998,599386.003,360943.58248,635404.895,793018.3038369999,-425881.598,15561401.325,608186.419383,199182.564,971780.758,-5667.025018999993,,,287884.575463,,,-417636.72405600036,163602.406,908546.37199,
2015,119906.87100000001,276158.95873,3918874.4204039997,406614.221,73089.331,,53405.304000000004,309765.664,334311.28199199995,738604.023,980984.539,-229229.85600000003,15768790.240631,321189.084349,205920.058,871488.116,-10656.634970000014,,-1938654.857549,321054.732748,,,2258687.252592,107027.551663,889568.928587,
2016,54881.75700000001,442459.223465,4038586.344299,203802.83084900002,463427.058783,,20352.837,387684.24065900006,308693.190676,812731.568,1162830.107,-221336.1452080002,13893921.641343,1002078.317974,201399.564,930730.998,13770.353992999997,,-2192677.972462,314947.124982,,,-420781.399954,198269.42764,714328.098,
2017,373034.331,461456.15341,2568173.004086,107798.16578599997,89660.306,,101153.87642499997,460300.7766900001,226000.63951,759574.892272,1118075.4754980002,750097.917836,16399648.857119,771250.3982340001,,896860.58626,-47353.17734500003,,-3703276.810638,344264.318346,,,-411670.61026800005,115904.734918,831407.107763,
2018,205638.02664499998,583555.6054669999,3005109.675031,181038.64364799997,96274.322,,90496.74326200003,431540.6213909999,313992.140837,818253.122986,1089587.245,869306.1379759999,15276994.605258,718156.0299549999,,971532.588,-58062.15786799998,,-2182473.766111,342868.467106,,,-315169.6115430002,134978.22151,952573.023398,
2019,204194.566616,116826.35677000001,1811853.104767,222215.98802200006,112481.786,,103946.19938,441196.231378,444763.057274,880613.410897,1050347.244277,825548.5846820001,15787005.057475,996951.0032439999,,875080.705725,429621.420479,,-2102070.154026,334560.202186,,,-272835.0262140003,134331.89014000003,1135270.484835,
2020,212531.339529,292539.80104299996,2654571.983662,208554.84788399993,481893.017,,586482.96908,523482.59202800004,515721.91596400004,763411.3053259999,1272447.12396,677847.416664,16877058.160167,394812.16024,,627125.255,-49620.161788999976,,-2466733.9062889996,368445.140099,,,-336978.67062800005,125806.21370900002,1347550.652352,
2021,207131.388559,336162.161837,2579331.498696,195932.45318800013,514731.998,,577949.947742,655947.96699,296079.330536,879216.929955,1313571.225253,902794.646023,15963475.678661,467391.324365,,682627.971,-64035.67861,,-2361552.2219849997,482059.54,,,-225476.82675999962,164124.212069,1427507.221636,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
