Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1985,113247.3042,1217634.798,28484.13854,18560.53803,108662.4514,43830.59502,66813.12386,61504.56666,25371.75139,6775.387381,832481.9254,60380.91164,34495.55073,27479.09823,16767.03741,86293.80898,113664.6257,159226.7008,37537.82559,256004.3365,67806.49739,52878.05823,337768.0161,71572.39837,57990.3349,14668.50456
1986,133596.5414,1362449.486,125746.6695,22349.96596,157961.5628,157082.5488,22575.06661,54033.50108,31077.49085,8682.859781,1004017.541,101644.088,26533.37096,37932.83944,22501.84668,119825.9838,249697.0357,172742.2462,44737.39305,249016.2031,71404.67508,68039.59105,353529.5335,71057.17973,56802.95711,22646.76862
1987,114738.5604,1163241.392,31070.52228,32766.38269,190560.1925,112091.5247,80499.03405,44296.73629,32191.35822,27606.07509,1140630.926,97071.10747,69520.72518,28731.86264,18648.23367,91855.99842,94169.12238,169104.1907,61381.56672,275127.6317,89781.22346,44439.94285,399690.8453,83769.64035,59252.39402,17926.01788
1988,123470.6235,1251853.084,80890.48062,25007.48038,61671.77261,67656.94868,75184.94913,63542.52552,38910.11549,31381.39039,1327050.618,67707.29743,20117.62937,34281.12646,18783.96392,124594.3641,85806.84018,186424.873,64184.5538,300164.8495,99938.45129,57130.3649,452666.3422,80625.56746,59911.83017,20555.09676
1989,105098.2471,1140856.968,161414.2998,31809.72189,240387.275,23995.79301,60404.11642,54533.33221,28143.92943,30417.36979,1182602.826,81564.89557,19172.09857,47768.56095,24381.52876,167352.935,90259.72369,203497.6512,68966.90439,264509.8907,116762.0946,62515.00727,438826.1395,84064.17474,56551.99511,21380.06635
1990,83520.49629,855595.914,134097.5852,21975.83328,29918.05618,73458.72442,60285.83273,40277.66946,36458.97935,23729.20944,1340318.172,73890.14226,82034.10039,142618.0423,76524.49462,395319.2625,117260.6408,174435.8929,81075.29327,268450.4078,150307.0453,108122.0798,567300.3797,91298.28956,66317.98545,23829.86192
1991,56688.7598,742245.7619,141281.778,10425.28126,51093.75831,195895.5755,44591.88092,62712.78024,29800.93459,19350.08771,1097710.853,3600.769582,32293.391,64518.82193,10599.89252,85558.24142,349662.433,175144.5588,86243.83892,322408.3204,94273.80926,86678.97664,504003.0685,57233.96493,56110.94638,18939.49593
1992,78489.52855,1209463.665,109827.6772,27673.24424,60544.39346,198051.3832,61831.24128,70363.91413,31331.91982,17994.44011,1084337.329,9324.176322,48943.18732,3108.258638,10258.82138,111998.9213,159249.1159,189543.4371,88673.16697,357882.9929,128624.0523,91265.71433,405825.6581,61109.07241,80017.90842,22123.6955
1993,106956.7167,1216087.054,50206.03875,24431.62929,122197.6185,174680.3504,63595.74152,53123.56357,32511.65496,17741.16823,851522.5075,38880.78306,97178.72448,14178.98602,17405.27453,0,172212.2921,201229.0785,94157.24594,362240.0384,175997.6615,104437.6211,389748.3748,83131.26088,81282.75111,15334.97097
1994,117393.431,1230294.9,73279.55987,33238.9743,79656.18112,149848.2241,61141.46298,51263.94705,37058.40784,27951.31665,1041172.376,113754.8043,9259.069149,1258.328826,2668.475331,238.2011502,161910.8132,212140.9817,108879.7037,313379.3544,151397.668,114257.8169,494943.9499,88911.98914,70564.15644,15815.23794
