years,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
2010,11754596.209290046,53719.15291411984,4074.1595368285775,813433930.6090162,11012.302970005969,1161486172.0833333,74091988.11749043,81852.94425656741,41171.27442063868,301474.8027944047,5293.238238336643
2011,11724096.02791025,55469.485646926296,4131.168590195183,823626710.2505257,11912.142369505385,1193283775.833333,78800514.18638875,84043.54689465102,38542.13942925121,304281.50630180433,5850.995702614224
2012,11820086.041569537,57791.472223525976,4185.627898596025,839775666.4227966,13291.485830507649,1239115147.9166667,83626750.40802462,85619.5452784906,37373.63911586429,306887.8130909474,6582.247325715763
2013,12339050.865178186,60893.67724628943,4241.441155400171,865988281.3924651,15188.42294894228,1354624148.3333335,88966209.59594013,86621.05708085402,36827.309059663356,309293.272116799,7416.022493174152
2014,12300458.696126865,63775.36807844638,4312.367943101119,888914231.4677492,15928.65983204896,1393929237.9166665,95677167.8813871,87886.39291016752,36457.39445608101,311202.3042283597,7808.011137023404
2015,12450556.53444223,66966.73951815843,4409.294003181393,922342425.2959547,16648.011780141198,1450241529.9999998,102206988.77207251,88480.72574162004,36602.67246759021,314661.62115214096,8284.479337189305
2016,12508152.050757742,69584.0879633474,4531.914190913153,952332887.0819695,17278.507287524862,1487907485.4166667,104731043.4131726,89282.10220784775,36190.41880057448,316861.6562056295,8492.465475238952
2017,12543684.882974658,71774.55545366257,4631.354380075643,977786241.1116573,18118.666381409425,1510009272.9166667,109911065.79493636,91681.68611350545,36850.95506568401,323031.0568035732,8954.570676267847
2018,12881925.585271362,74502.32250459421,4766.168108209908,1015356279.1191641,18892.84039560167,1542646804.1666665,115726643.16227686,94355.14811771073,37795.47651315815,331635.6620125923,9454.061034204944
2019,13301691.537052477,77275.6446698125,4905.885849368974,1054319609.6067091,19601.602687114522,1573360257.0833335,121484317.23752953,97152.28396468563,38214.495185421896,340844.77938235574,10006.397002907202
2020,13692251.751278803,79602.07476018037,5000.419167221666,878398455.5658311,7407.893367765972,1585707672.0833333,121492029.6996367,94464.07333800281,37021.71652725264,342851.40189950477,8075.025636259418
2021,13597240.28208211,78709.9905227472,4910.432546961025,1005073065.141605,16873.537329063358,1529691079.5833335,127556712.64478198,98074.62541363577,37722.06426281861,353517.9567875366,11291.061707747847
2022,13154393.315041654,74491.9776589561,4614.34624684049,998965067.4847207,17465.8128009011,1464433180.8333333,128624941.72526892,100489.77074454784,37105.82772471287,358564.0656778024,11669.805537963271
2023,14429510.834364798,82422.14852028493,5098.760662331981,1122302750.079952,21598.31986681579,1578223237.9166665,131319569.84822564,103133.17815945848,36326.188777935735,363054.6369695812,13114.73261688619
2024,14938083.96465446,85228.96726827667,5301.022701463855,1179074137.0176551,23056.247687629424,1593921127.916667,133833030.55692105,105863.73501700614,35557.616793714406,367545.21567079343,13597.431847448346
2025,15102671.434532044,85875.9018373234,5333.718743094461,1194187636.5768712,23432.750961158217,1583241246.6666665,136012733.9509717,108474.14569191997,34803.51022232358,371553.8358906434,13695.898281652662
2026,15415674.274560897,87465.21447474358,5444.475539098139,1229946149.282222,24237.17206436743,1588948290.8333335,138487489.6394641,111323.65701694078,34112.02879983807,375557.92042916245,13921.786178131253
2027,15792258.638010612,89182.34815635844,5587.755933339521,1274192041.299945,25186.528125266785,1595418729.9999998,142849111.632552,114246.25139212635,33498.8541078068,379825.5786012618,14219.51347894305
2028,16139385.932198707,90757.10048415224,5710.3270954085765,1313183700.3618367,25963.585932347294,1595965674.5833333,145812956.80018264,117363.8702325481,32909.26530151189,384176.9526806275,14449.181053454446
2029,16488714.713986954,92404.75194870366,5822.066175890781,1349073898.962445,26647.77600547833,1595212084.1666665,149656073.3850672,120673.43788766256,32341.836828215542,388613.07425747934,14645.795969560717
2030,16839853.19450294,93918.61796381677,5939.410152870376,1386451481.8155015,27363.99237710686,1591597480.0000002,153717421.45878363,124072.42776771977,31796.499675291547,393133.689165411,14845.401661393467
2031,17163274.61986475,95170.13004596016,6056.040161618992,1422575831.3217144,28057.765730949992,1584395059.5833333,157496101.87373585,127221.51213263583,31204.798172738265,396817.6992491445,15021.435363099039
2032,17508453.33280222,96508.90099971478,6183.650216231026,1461576048.9396577,28764.20220398069,1582300793.3333333,161656228.664441,130476.31955901984,30636.543616256637,400561.67397120106,15194.763731376546
2033,17981502.07423789,98726.66595662486,6375.803040788904,1516623386.3483393,29815.05589963024,1592075500.4166667,166401756.62109962,133863.98549637018,30090.87128583299,404365.9606360884,15479.1969223837
2034,18321254.762206893,100104.02443867587,6521.58265603737,1560372678.8484077,30579.96187514804,1587178167.5,169963917.34275955,137388.26932058655,29566.848281811046,408228.9456324354,15675.550433195749
2035,18616343.285948828,101279.65735669492,6653.135153857968,1600613345.4316018,31202.433295849863,1580432734.166667,173765354.607439,141161.14195571578,29081.409616818113,412292.3551704767,15830.099776437883
2036,18958429.186218914,102947.86328566427,6860.7995898136805,1656006089.6658466,31953.822957850734,1571686070.0,177277865.37200245,144724.87536489672,28582.08540468746,415794.20078347495,16006.8884676437
2037,19266623.062482137,104528.18614407592,7071.352276689355,1710018639.440722,32718.314225289265,1562191094.1666667,180792844.21851254,148407.35753534833,28102.331498982425,419317.69374155026,16188.986015280861
2038,19526240.727514822,105967.04600348762,7275.127288524836,1759927678.0640223,33446.15975600415,1551366201.2500002,184408633.72853982,152143.20082692042,27642.722093356388,422875.1668183837,16358.931354864471
2039,19768505.84341508,107378.68793302018,7488.303913455545,1809393838.1349928,34231.21863836457,1541528372.9166665,188148689.09285846,155916.1386848035,27204.07698533686,426457.37585757184,16545.93142089999
2040,19992836.523074802,108691.8509706512,7714.013598455015,1859109831.028149,35104.476165382905,1531709594.5833335,192036048.0484297,159690.87191829618,26789.012792440946,430058.25184796297,16759.42191032708
2041,20172066.07642999,109754.02738113719,7938.818331361386,1905049015.5685241,35991.746505459865,1519640459.583333,195147485.63324067,163037.44831612238,26362.317606489964,433303.707674922,16965.936446274194
2042,20332904.89565293,110708.96555334519,8168.174117742092,1949458622.8907912,36939.90834599834,1507128567.0833335,198307785.58082977,166323.5394386893,25956.41986616817,436546.3354412228,17185.916769883857
2043,20505289.88476047,111699.63329349877,8417.270901375814,1995862882.1747754,38039.062790905475,1495735162.4999998,201506003.6308009,169477.37162238575,25572.279252995068,439775.3447364242,17440.617877533765
2044,20680845.13745072,112686.14696421027,8683.20284347339,2043380815.9128344,39286.69071258788,1484511846.25,204743366.76251742,172435.89665588594,25212.99994962005,442994.63105327025,17726.41086760103
2045,20846212.355173163,113606.83744977057,8956.7655588375,2089830824.7038157,40651.77056042049,1472765847.0833333,208020895.30571428,175157.72354327908,24883.486612776956,446203.95223185106,18032.477501951977
2046,20984784.472310677,114364.28602890471,9235.005351584781,2133314452.7448003,42117.91162925181,1459696506.25,210921013.2476401,177230.8841341034,24559.2867090777,448826.30092240445,18344.20304139277
2047,21130494.85966794,115142.30244892211,9534.67994659653,2178192588.8531075,43629.76586339647,1447663755.8333333,213857132.704505,179082.5911248933,24294.94362566335,451449.70025540254,18659.987105945198
2048,21280553.894639634,115927.74403474631,9854.94554651937,2224144994.4587917,45182.749748863214,1436250578.333333,216837685.03507394,180723.6852531976,24126.763839287974,454084.7718990512,18978.489943114644
2049,21418588.03466129,116634.25223572907,10186.30678961335,2268845599.4761868,46725.10871749308,1424456095.0,219866138.2592703,182269.27123730571,24158.44344181743,456734.3839638577,19286.684530436833
2050,21550013.490269836,117282.55539228607,10534.659464497588,2313128812.6722717,48274.276488523894,1412895378.3333337,222937755.8530542,183745.14722164226,25933.347455129042,459394.715812656,19588.7111495573
2051,21663881.743642557,117806.76910523901,10905.327549570844,2356661592.5099463,49836.01993374813,1400809963.75,225400465.1515252,185275.8497710222,25414.782205087933,461634.6213491995,19878.79348744746
2052,21774178.02889139,118279.56722350791,11299.297455485905,2400454568.2576423,51420.581093946,1389192541.2500002,227890826.23597613,186769.6350486257,24918.857523416053,463883.9621141814,20166.01251321219
2053,21875903.353424393,118679.65170644705,11713.433801612171,2443641853.33472,53004.58219612659,1377948253.75,230412629.65156874,188257.61192183924,24444.79349235061,466140.11625925906,20444.637611304755
2054,21974085.713948008,119023.32270677561,12155.511263910048,2487244189.981265,54610.098253446144,1367458243.3333333,232967916.99200383,189744.2021752141,23992.18353391048,468403.40701673966,20721.033771582428
2055,22070253.65168181,119308.21957621338,12631.282006965728,2531895999.613455,56248.710965884566,1357601829.5833333,235559275.0236194,191262.86174079587,23560.256030794204,470670.91599177587,20998.158116703366
2056,22138978.830635913,119398.98999563146,13132.951727696507,2574796528.4838724,57859.87500136427,1346644126.6666665,237931781.68061736,192767.25915815003,23130.139800609064,472653.4853901493,21255.166565256066
2057,22197942.069907587,119390.52978745679,13666.51631861099,2617533188.9462714,59468.822363471925,1335950731.6666665,240339605.7440502,194293.65501727746,22719.517472107967,474637.7946097817,21504.618588111964
2058,22251523.052990027,119306.48785648009,14241.37273010678,2661050258.1476,61099.192021140145,1325879604.5833333,242783622.56485024,195863.52017150505,22328.327150218603,476624.563955875,21751.493895894586
2059,22298723.64954717,119141.17117182168,14861.52967271978,2705356511.499738,62751.62112600002,1316329765.0000002,245262662.92509082,197466.95515897794,21955.76583804668,478609.48217004136,21995.238375990895
2060,22335910.22511973,118881.85458103321,15526.293750627736,2749785011.6069217,64407.790451842106,1307146294.583333,247777309.9804688,199098.9071252315,21601.24056036098,480593.4230325634,22231.03967477709
