,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
HFT,2027,0.0,0.0,41691944.729667015,0.0,398208548.53230333,0.0
HFT,2028,0.0,0.0,45816196.35726891,0.0,463936367.04885614,0.0
HFT,2029,0.0,0.0,50231025.64916633,0.0,534179398.00284094,0.0
HFT,2030,0.0,0.0,54931929.6606429,0.0,604359960.3623786,0.0
HFT,2031,0.0,0.0,60296692.97820618,0.0,671312651.9189655,0.0
HFT,2032,0.0,0.0,66736098.26179034,0.0,731180900.0701499,0.0
HFT,2033,0.0,0.0,73983932.44822474,0.0,775575083.6943389,0.0
HFT,2034,0.0,0.0,81161386.47708538,0.0,804475512.5548153,0.0
HFT,2035,0.0,0.0,88836365.74343823,0.0,832609368.0822707,0.0
HFT,2036,0.0,0.0,96703934.97187008,0.0,858071358.7931082,0.0
HFT,2037,0.0,0.0,105634238.99542543,0.0,885089526.4344366,0.0
HFT,2038,0.0,0.0,115250060.72616269,0.0,920549125.6335365,0.0
HFT,2039,0.0,0.0,125198073.64732634,0.0,966683403.2130613,0.0
HFT,2040,0.0,0.0,135107161.52469027,0.0,1025884122.9600909,0.0
HFT,2041,0.0,0.0,144153584.0440335,0.0,1083559199.7876868,0.0
HFT,2042,0.0,0.0,152630639.99624678,0.0,1145397565.803578,0.0
HFT,2043,0.0,0.0,160592182.75313264,0.0,1208762501.7350442,0.0
HFT,2044,0.0,0.0,167957000.1894403,0.0,1273019907.1563082,0.0
HFT,2045,0.0,0.0,174756362.01608568,0.0,1336843805.6868467,0.0
HFT,2046,0.0,0.0,180705592.48886013,0.0,1397047157.1481626,0.0
HFT,2047,0.0,0.0,186162361.62789938,0.0,1455955782.0660522,0.0
HFT,2048,0.0,0.0,191335617.03820714,0.0,1512350095.8068302,0.0
HFT,2049,0.0,0.0,196216118.28644428,0.0,1564971939.6828074,0.0
HFT,2050,0.0,0.0,200910328.33231205,0.0,1613954417.2814646,0.0
HFT,2051,0.0,0.0,204730475.58183175,0.0,1654017551.4174392,0.0
HFT,2052,0.0,0.0,208245246.2603289,0.0,1690593535.9920926,0.0
HFT,2053,0.0,0.0,211476242.45911947,0.0,1724585228.6999784,0.0
HFT,2054,0.0,0.0,214510732.78925592,0.0,1756661647.0659375,0.0
HFT,2055,0.0,0.0,217363858.3456863,0.0,1787913361.624254,0.0
HFT,2056,0.0,0.0,219793663.70107558,0.0,1817802634.2689655,0.0
HFT,2057,0.0,0.0,222004191.39586073,0.0,1848461058.8913677,0.0
HFT,2058,0.0,0.0,223968828.05610302,0.0,1880156137.5872715,0.0
HFT,2059,0.0,0.0,225645549.9133213,0.0,1913091714.2407677,0.0
HFT,2060,0.0,0.0,227013170.58520526,0.0,1947597960.3416777,0.0
midi_bus,1971,0.0011685354131402447,0.0,1153.0981882651545,0.0,0.0,0.0
midi_bus,1972,0.0028088698719765793,0.0,2730.455318914254,0.0,0.0,0.0
midi_bus,1973,0.004541723470169724,0.0,4383.1558276240285,0.0,0.0,0.0
midi_bus,1974,0.006274195556749821,0.0,6056.070527308495,0.0,0.0,0.0
midi_bus,1975,0.007806625136205737,0.0,7502.057940289257,0.0,0.0,0.0
midi_bus,1976,0.00929957051530309,0.0,8874.21686639197,0.0,0.0,0.0
midi_bus,1977,0.010972440656058156,0.0,10540.846249614886,0.0,0.0,0.0
midi_bus,1978,0.012679794917513053,0.0,12160.547888208843,0.0,0.0,0.0
midi_bus,1979,0.014398819948720607,0.0,13813.779272271542,0.0,0.0,0.0
midi_bus,1980,0.01591789021823158,0.0,15278.327375836054,0.0,0.0,0.0
midi_bus,1981,0.017292612535701458,0.0,16716.360902635337,0.0,0.0,0.0
midi_bus,1982,0.018257388740531087,0.0,17772.002668391924,0.0,0.0,0.0
midi_bus,1983,0.019249403668945547,0.0,18895.256058282783,0.0,0.0,0.0
midi_bus,1984,0.020519025003306338,0.0,20196.024338256062,0.0,0.0,0.0
midi_bus,1985,0.021655600040368442,0.0,21292.207955497848,0.0,0.0,0.0
midi_bus,1986,0.02054805602385918,0.0,20276.127903021923,0.0,0.0,0.0
midi_bus,1987,0.019301159138741072,0.0,19146.564380802218,0.0,0.0,0.0
midi_bus,1988,0.017934373683188905,0.0,17933.867348678417,0.0,0.0,0.0
midi_bus,1989,0.01646995173629408,0.0,16516.071966446387,0.0,0.0,0.0
midi_bus,1990,0.01493569664077627,0.0,15025.510080687332,0.0,0.0,0.0
midi_bus,1991,0.013359421577674042,0.0,44843.88628015967,0.0,0.0,0.0
midi_bus,1992,0.01176963282161568,0.0,63663.871318472506,0.0,0.0,0.0
midi_bus,1993,0.010195450765702597,0.0,79383.04156182118,0.0,0.0,0.0
midi_bus,1994,0.008666579282784446,0.0,82290.42447572044,0.0,0.0,0.0
midi_bus,1995,0.007212859603542248,0.0,80474.90722647609,0.0,0.0,0.0
midi_bus,1996,0.005863053570440117,0.0,78503.91946148383,0.0,0.0,0.0
midi_bus,1997,0.004642848447937985,0.0,76274.93086134574,0.0,0.0,0.0
midi_bus,1998,0.003572398799248081,0.0,73654.29798034659,0.0,0.0,0.0
midi_bus,1999,0.002664002270646472,0.0,70688.94230047672,0.0,0.0,0.0
midi_bus,2000,0.001920582764385416,0.0,67872.2524839695,0.0,0.0,0.0
