time,DIM_1,ICE,HEV,PHEV,BEV,FCV
2022,6,0.9216949366899999,0.047802224000000004,0.0081728566,0.02220602,0.0001240257
2022,7,0.9993168317277099,0.0006773262055000001,5.8652656664999995e-06,1.307712e-10,1.38829e-11
2022,8,0.9471336611490939,0.049932616055349856,0.0029337044848083103,1.469142e-08,4.850518e-08
2022,9,0.893650453974,0.0971609608,0.009184117698,2.631957e-06,1.905298e-06
2022,10,0.7418174204700001,0.18503333,0.0461392343,0.02682946,0.0001805012
2022,11,0.622990405388,0.25322460599999996,0.099361965,0.02437991,4.307604e-05
2022,12,0.66317156616,0.2108813446,0.0687490892,0.05704899,0.0001489915
2022,13,0.5933500419,0.28101975500000004,0.12364409400000001,0.001644037,0.0003420034
2022,14,0.85231040634,0.12739544149999998,0.02026771927,1.959247e-05,6.803825e-06
2022,15,0.956813097657,0.037038483623999995,0.0020797206366000003,0.004068319,3.986327e-07
2022,16,0.843127338037,0.1339365599,0.022928942473,6.88088e-06,2.967858e-07
2022,17,0.997480731531,0.0025060081388999997,1.3341133445246e-05,8.416595e-13,1.19464e-10
2022,18,0.958575058778,0.038325297300000005,0.0030983027520000003,8.067324e-07,5.165865e-07
2022,19,0.59400673229,0.27837840599999997,0.125446354,0.001979091,0.0001894576
2022,20,0.63167185459,0.108018702,0.025709506200000003,0.2344511,0.0001487195
2022,21,0.949159111402,0.040612242,0.010223204662,3.472597e-06,1.985129e-06
2022,22,0.97769840621,0.0125857345,0.0097154908996,9.251178e-08,2.336574e-07
2022,23,0.548579982233,0.3293614328,0.121857418508,0.0001937373,7.423934e-06
2022,24,0.684726874243,0.2449687085,0.0701038283,0.0001927774,7.779026e-06
2022,25,0.9671675735716301,0.031192477407,0.0016393165196,5.004322e-07,7.780061e-08
2022,26,0.916361947349,0.0771932063,0.0064421110787,1.058085e-06,1.707402e-06
2023,1,0.57325983397,0.268574555,0.095273776,0.06284674,4.517832e-05
2023,2,0.756267126568,0.18988073900000002,0.038972885,0.01487021,9.057668e-06
2023,3,0.895764998198,0.09736693141600002,0.0068668946510000006,7.033362e-07,4.470077e-07
2023,4,0.78890972896,0.17121513900000002,0.039578191799999995,0.0002471854,4.982441e-05
2023,5,0.74270209608,0.172006515,0.08441213389999999,0.0008429952,3.630198e-05
2023,6,0.91159510834,0.048606659999999996,0.008679645400000002,0.03096531,0.0001532487
2023,7,0.99931968159865,0.0006744624338999999,5.8238489087e-06,1.55492e-10,1.539395e-11
2023,8,0.9451581052950938,0.051893522053828904,0.00294827954383951,1.938293e-08,4.805538e-08
2023,9,0.8869444574959999,0.1031544545,0.009894864027,4.318617e-06,1.937148e-06
2023,10,0.7161277014399999,0.19228116199999998,0.04961833682,0.04170729,0.000265497
2023,11,0.58710155583,0.263097116,0.106798178,0.04293015,7.301036e-05
