,time,BEV,FCV,HEV,ICE,PHEV,Trolley
Light Commercial Vehicles,1998,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1999,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2000,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2001,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2002,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2003,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2004,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2005,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2006,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2007,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2008,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2009,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2010,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2011,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2012,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2013,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2014,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2015,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2016,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2017,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2018,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2019,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2020,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2021,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2022,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2023,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2024,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2025,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2026,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2027,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2028,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2029,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2030,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2031,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2032,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2033,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2034,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2035,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2036,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2037,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2038,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2039,0.0,0.0,0.0,0.0,0.0,0.0
