years,regions,Buses,Trains,Hight Speed Trains,Cars,Planes,Bikes,Trucks,Freight Trains,Ships,Inland Ships,Freight Planes,High Speed Trains,Inland ships
1974,24,58795600000.0,43544870000.0,,57214800000.0,14308720000.0,6405019000.0,43317310000.0,41930170000.0,294288400000.0,,1644832000.0,17009230000.0,375693400000.0
1974,25,112719400000.0,19630220000.0,,9224504000.0,1146690000.0,119803400000.0,43443297000.0,2018680000.0,434436000000.0,,261708250.00000003,0.0,10589910000.0
1974,26,37596430000.0,2644975000.0,,15653290000.0,1112506000.0,35418720000.0,26323528000.0,14926310000.0,173597300000.0,,25326605.0,0.0,8591395000.0
1975,1,19002910000.0,3977353000.0000005,,384848600000.0,29436950000.0,5481009000.0,58140632999.99999,131934200000.00002,244486100000.0,,490958300.0,0.0,41246200000.0
1975,2,179894900000.0,37652420000.0,,3643247000000.0,278670900000.0,51887090000.0,1596445000000.0,1501502000000.0,8637275000000.0,,17068625000.0,0.0,644591000000.0
1975,3,94769910000.0,5218607000.0,,102818500000.0,6795135000.0,36582120000.0,61043060000.0,29754660000.0,314382700000.0,,207669050.0,0.0,22006680000.0
1975,4,75028780000.0,4131541000.0,,30173970000.0,1994156999.9999998,28961840000.0,248243510000.0,35809910000.0,182556200000.0,,569850000.0,0.0,68070670000.0
1975,5,167538100000.00003,9225667000.0,,164517400000.0,10872730000.0,64671350000.0,258198259999.99997,34689060000.0,402111800000.0,,953869500.0,0.0,61110480000.0
1975,6,169130800000.0,9313369000.0,,183494600000.0,12126910000.0,65286140000.00001,326326769999.99994,48040330000.0,609433300000.0,,2515257500.0,0.0,95579220000.0
1975,7,92288460000.0,5277934000.0,,56047380000.0,8490625999.999999,53038290000.0,43126320000.0,27744760000.0,564289600000.0,,215097900.0,0.0,255667200.0
1975,8,121746900000.0,8565108000.0,,74185010000.0,5542938000.0,107470500000.0,13257897000.0,9658283000.0,317218300000.0,,503005000.0,0.0,3461086000.0
1975,9,73885010000.0,5197940000.0,,29818570000.0,2227976000.0,65221030000.0,4344267200.0,3167139000.0,64450820000.0,,343407250.0,0.0,1184387000.0
1975,10,20047549999.999996,1410381000.0,,13416860000.0,1002478000.0,17696720000.0,111476430000.0,82872700000.0,436348400000.0,,570239000.0,0.0,27347820000.0
1975,11,584840400000.0,220068800000.0,,2053178000000.0,133672000000.00002,167336900000.0,617644150000.0001,265147800000.0,10644650000000.0,,17098980000.0,85923780000.0,936438100000.0
1975,12,385712800000.0,171590900000.0,,146962000000.0,10603270000.0,56175540000.0,83668651000.00002,365622000000.0,153635700000.0,,88788850.0,0.0,53104680000.0
1975,13,63575480000.0,23922740000.0,,84260690000.0,5485788000.0,18190470000.0,31259757000.0,6933607000.0,186016100000.0,,166529900.0,9340404000.0,165918500000.0
1975,14,179168500000.0,87447900000.0,,22117610000.0,29800740000.0,30654230000.0,23923354000.0,387054300000.0,117834500000.0,,39888765.0,0.0,2673652000.0
1975,15,107735500000.0,52583140000.0,,13299500000.0,17919430000.0,18432640000.0,48001770000.00001,328223000000.0,34759960000.0,,113675000.0,0.0,81691880000.0
1975,16,425863400000.0,207853800000.0,,75026530000.0,101089000000.0,72861660000.0,145166400000.0,1953896000000.0,313470000000.0,,764797000.0,0.0,54194180000.0
1975,17,88159420000.0,5041797000.0,,65400059999.99999,9907464000.0,50665320000.0,617521500000.0,33354580000.0,4037927000000.0,,8046855000.0,0.0,2147717000.0
1975,18,447639100000.0,77956890000.0,,48829190000.0,7440122000.0,424953000000.0,107466090000.0,134116900000.0,22779940000.0,,204450250.0,0.0,49977780000.0
1975,19,83487340000.0,6458906000.0,,15595550000.0,4047468000.0000005,32723620000.0,17445582000.0,3580580000.0,115325600000.0,,1120222500.0,0.0,27171200000.0
1975,20,207894000000.0,74074630000.0,,165129200.0,5647584000.0,671873200000.0,59170799999.99999,239119100000.0,163734800000.0,,1226759500.0,0.0,464230800000.0
1975,21,303660100000.0,23492330000.0,,35951040000.0,9330271000.0,119022300000.0,108859239999.99998,4778672000.0,1079208000000.0,,2659450000.0,0.0,150575500000.0
1975,22,215904800000.0,16703240000.000002,,18891480000.0,4902851000.0,84625860000.0,64427734000.00001,2346492000.0,402702000000.0,,35582175.0,0.0,72702630000.0
1975,23,353216000000.0,261596800000.00003,,370687600000.0,94205070000.0,39058130000.0,150142310000.0,70500650000.0,1119630000000.0,,4112979500.0000005,110200700000.0,994613200000.0
1975,24,58526340000.0,43345460000.0,,61421320000.0,15609370000.0,6471762000.0,40504020000.0,40746250000.0,283831600000.0,,1789358500.0,18259780000.0,373007700000.0
1975,25,128427999999.99998,22365890000.0,,9484396000.0,1445141000.0,121919300000.0,46784276000.0,2116817000.0,467821200000.0,,320281050.0,0.0,11018620000.0
1975,26,41168920000.0,2896306000.0,,16900020000.000002,1262731000.0,36341330000.0,24019428000.0,14249350000.0,151062400000.0,,28658135.0,0.0,8633832000.0
1976,1,20415890000.0,4273092000.0,,399640700000.0,32522870000.000004,5195053000.0,60292551000.00001,137053000000.0,254388800000.0,,540041500.0,0.0,42026340000.0
1976,2,192561400000.0,40303550000.0,,3769387000000.0,306753800000.0,48999420000.0,1684682800000.0,1569632000000.0,9236845000000.0,,18829505000.0,0.0,655199700000.0
1976,3,103931500000.0,5723103000.0,,116274300000.0,7493187000.0,36974760000.0,63188020000.0,30978130000.0,327089600000.0,,229660500.0,0.0,22810050000.0
1976,4,81614740000.0,4494204000.0,,33846120000.0,2181181000.0,29035320000.0,261800800000.0,37292010000.0,192576000000.0,,623750000.0,0.0,70249840000.0
1976,5,182910800000.0,10072180000.0,,185213700000.0,11935930000.0,65072480000.0,279387740000.0,36522110000.0,436331100000.0,,1054024500.0,0.0,63586990000.0
1976,6,184147200000.0,10140270000.0,,206016300000.0,13276520000.0,65512350000.0,340848520000.0,49385680000.0,642535900000.0,,2777389500.0,0.0,99026890000.0
