,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,2039,0.0,0.0,168292601.28908697,0.0,1815071009.0940828,0.0
LCV,2040,0.0,0.0,174139486.37200677,0.0,1948497960.7647958,0.0
LCV,2041,0.0,0.0,179576788.08976883,0.0,2077535439.7974596,0.0
LCV,2042,0.0,0.0,184639826.3559472,0.0,2202736743.71478,0.0
LCV,2043,0.0,0.0,189259433.44994467,0.0,2323392410.565046,0.0
LCV,2044,0.0,0.0,193423764.5374692,0.0,2438801846.853551,0.0
LCV,2045,0.0,0.0,197004326.07100502,0.0,2549916556.9697742,0.0
LCV,2046,0.0,0.0,199903787.43300167,0.0,2649188914.632848,0.0
LCV,2047,0.0,0.0,202552718.313264,0.0,2742335552.8205504,0.0
LCV,2048,0.0,0.0,205116826.5087103,0.0,2829099892.0540032,0.0
LCV,2049,0.0,0.0,207592730.914558,0.0,2910494748.2051787,0.0
LCV,2050,0.0,0.0,209988596.03580943,0.0,2986835405.286765,0.0
LCV,2051,0.0,0.0,211748056.3169741,0.0,3048286867.653986,0.0
LCV,2052,0.0,0.0,213502769.96058756,0.0,3104082398.8001184,0.0
LCV,2053,0.0,0.0,214956058.35254,0.0,3157491380.4325953,0.0
LCV,2054,0.0,0.0,216422632.75626838,0.0,3207101103.422415,0.0
LCV,2055,0.0,0.0,217731944.28112078,0.0,3255322340.9515004,0.0
LCV,2056,0.0,0.0,218665370.71854347,0.0,3300038315.5236683,0.0
LCV,2057,0.0,0.0,219426680.97743776,0.0,3345019540.652375,0.0
LCV,2058,0.0,0.0,219966023.3246429,0.0,3390685258.0405087,0.0
LCV,2059,0.0,0.0,220341679.25067025,0.0,3437057008.751057,0.0
LCV,2060,0.0,0.0,220525013.05734816,0.0,3484543673.66241,0.0
MFT,1971,0.0,0.0,41.23264047575158,0.0,9.73400662844867,0.0
MFT,1972,0.0,0.0,189.23055292261864,0.0,27.55882883436328,0.0
MFT,1973,0.0,0.0,385.3935118639428,0.0,51.572323381759,0.0
MFT,1974,0.0,0.0,559.711580236807,0.0,73.536506201682,0.0
MFT,1975,0.0,0.0,716.7713917236632,0.0,95.44115460144678,0.0
MFT,1976,0.0,0.0,910.3560223621367,0.0,117.85562434110172,0.0
MFT,1977,0.0,0.0,1058.7427896521008,0.0,131.61611216009504,0.0
MFT,1978,0.0,0.0,1217.381510975941,0.0,143.27250272570188,0.0
MFT,1979,0.0,0.0,1413.3840715428662,0.0,162.27483940654653,0.0
MFT,1980,0.0,0.0,1499.8767663060987,0.0,154.23896076501006,0.0
MFT,1981,0.0,0.0,1525.001355045059,0.0,160.2022743189899,0.0
MFT,1982,0.0,0.0,1555.5362043768973,0.0,161.76955108033067,0.0
MFT,1983,0.0,0.0,1576.505115760734,0.0,159.53163814285338,0.0
MFT,1984,0.0,0.0,1716.153419897383,0.0,170.63953105443397,0.0
MFT,1985,0.0,0.0,1994.3343154441925,0.0,203.93840132279584,0.0
MFT,1986,0.0,0.0,2444.9878630106896,0.0,276.58454599235887,0.0
MFT,1987,0.0,0.0,2997.3439701500906,0.0,376.40909405095937,0.0
MFT,1988,0.0,0.0,3594.013447056016,0.0,488.1523763025099,0.0
MFT,1989,0.0,0.0,4179.291397988704,0.0,594.9039088101739,0.0
MFT,1990,0.0,0.0,4688.084095280247,0.0,703.8090841004598,0.0
MFT,1991,0.0,0.0,5081.027372571134,0.0,797.1555958492785,0.0
MFT,1992,0.0,0.0,5320.115336534044,0.0,863.9929262679586,0.0
MFT,1993,0.0,0.0,5443.688390055834,0.0,909.0701364004403,0.0
MFT,1994,0.0,0.0,5709.777475712876,0.0,962.3713037320326,0.0
MFT,1995,0.0,0.0,5997.621020552239,0.0,1037.5321741267533,0.0
MFT,1996,0.0,0.0,6071.922346968757,0.0,1060.9357571124901,0.0
MFT,1997,0.0,0.0,6230.348026979584,0.0,1109.1549274613658,0.0
MFT,1998,0.0,0.0,6262.287678793808,0.0,1158.8029576182146,0.0
MFT,1999,0.0,0.0,6015.694782132241,0.0,1088.0553811482857,0.0
MFT,2000,0.0,0.0,5910.40899665609,0.0,1049.9578951878818,0.0
MFT,2001,0.0,0.0,5469.5838544359185,0.0,949.1419424012684,0.0
MFT,2002,0.0,0.0,5264.257383093262,0.0,913.1490912633684,0.0
MFT,2003,0.0,0.0,5203.931245798316,0.0,917.3789288647545,0.0
MFT,2004,0.0,0.0,5371.416068201342,0.0,962.9518806317487,0.0
MFT,2005,0.0,0.0,5522.319992241101,0.0,1009.8412794979847,0.0
MFT,2006,0.0,0.0,5808.248297592147,0.0,1078.3242626470435,0.0
MFT,2007,0.0,0.0,6150.2291226342395,0.0,1150.0268959013997,0.0
MFT,2008,0.0,0.0,6482.868380656662,0.0,1243.2073211416737,0.0
MFT,2009,0.0,0.0,6696.387171741306,0.0,1325.0582016964079,0.0
MFT,2010,0.0,0.0,8289.43531840132,0.0,1743.4788456842336,0.0
MFT,2011,0.0,0.0,13043.87284577844,0.0,3393.5710996158623,0.0
MFT,2012,0.0,0.0,29733.250993639387,0.0,13245.678076512133,0.0
MFT,2013,0.0,0.0,98396.70664623984,0.0,98738.36249361828,0.0
MFT,2014,0.0,0.0,442432.30101801414,0.0,1218723.12948728,0.0
MFT,2015,0.0,0.0,2290929.1066458095,0.0,19122922.70165101,0.0
MFT,2016,0.0,0.0,2769827.6389524154,0.0,23322419.26065655,0.0
MFT,2017,0.0,0.0,3375505.3004629533,0.0,28444013.017697163,0.0
MFT,2018,0.0,0.0,4060443.8161840304,0.0,34266877.160636395,0.0
MFT,2019,0.0,0.0,4782456.682485697,0.0,40603004.497927204,0.0
MFT,2020,0.0,0.0,4870813.27682083,0.0,41610753.073665656,0.0
MFT,2021,0.0,0.0,8082083.956023995,0.0,67970038.32143617,0.0
MFT,2022,0.0,0.0,11962479.271871787,0.0,95677829.45467754,0.0
MFT,2023,0.0,0.0,15942658.042045852,0.0,125273473.29826383,0.0
MFT,2024,0.0,0.0,19800745.133490026,0.0,155375405.9861006,0.0
MFT,2025,0.0,0.0,23448301.298400123,0.0,188170696.16822776,0.0
MFT,2026,0.0,0.0,27108965.83052433,0.0,224441299.6568416,0.0
