years,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
2028,15496774.51941033,88723.33113309328,5399.379127711433,1256233482.8838246,25860.809054787336,1381485517.1333334,152029407.69476482,113508.00961226631,33892.35512255676,369172.94799648755,15417.931558575438
2029,15763155.892264305,89872.36649709905,5480.681451920721,1282327075.2373016,26561.82591622177,1362145879.347826,155221788.0230849,116109.29817625978,33336.900436587806,371820.5026602254,15726.713444393914
2030,16036782.32596236,90968.43536999132,5567.0845922904255,1309872421.738009,27285.62580467086,1341385902.0833333,158427067.48125723,118781.39828322636,32799.39985340457,374520.3481632363,16041.35004328964
2031,16284246.553232383,91873.02960961063,5651.130155882252,1335127642.6609302,27965.272744195438,1318326658.2689834,161057209.1798506,121136.97484759327,32208.907759374124,376401.98026927677,16331.294264277998
2032,16546236.81101918,92864.35084112488,5742.566780446098,1361897871.1441624,28647.096226740672,1299556973.7277355,163737292.11565998,123522.96415514321,31636.08641474956,378311.21154709574,16622.65882302014
2033,16924556.513499275,94722.6758860972,5893.3934448090595,1402487802.175633,29675.01850336521,1291378606.0377357,166469413.876974,125910.16310105592,31079.444417534414,380245.47639966174,17040.437448341345
2034,17173782.09883253,95783.07946891402,5999.5417746964085,1430585837.5207722,30413.78715179332,1272159266.5422885,169255283.7811256,128309.4591359848,30538.193488628323,382203.2846675604,17364.144060909992
2035,17378546.80785099,96584.44446495913,6092.317945482819,1454517312.9808285,31023.231096387106,1252082291.7281673,172253719.2922333,130823.87848555633,30029.680867456827,384310.51862056786,17642.737027656225
2036,17629432.55398403,97751.04652838863,6255.315642685299,1490691385.5938942,31777.7449166624,1231658761.131387,174916244.8617077,133049.2343543579,29492.431391427126,385857.53325317556,17845.14355568065
2037,17848903.077005286,98768.45543370878,6421.038640055514,1524890035.7732317,32552.937199974567,1211585850.8724427,177662111.9437761,135316.05969490358,28963.177745516008,387410.58879281353,18053.90319568336
2038,18023210.913212113,99587.58689437345,6581.61328113635,1555161847.6758294,33301.967063962096,1191216147.5892856,180508239.0238381,137607.1727912335,28450.22947585937,388978.22492147714,18248.21830749026
2039,18181243.091223817,100358.73664284119,6752.216200562473,1585044726.2917593,34117.27206298762,1172115443.5217905,183478190.58676195,139903.20524208265,27952.7507507127,390555.33368393587,18462.43651091285
2040,18323803.577799775,101081.84524327246,6933.9245657165775,1614541424.578099,35010.677446175054,1153750023.7179487,186589002.5380582,142189.7132876433,27470.723469092063,392135.80989663425,18702.82817356593
2041,18499285.528086208,102018.81617871259,7143.86210086115,1651643399.8049757,35909.54569950507,1145971020.8333333,189564038.20205668,144723.52376599197,26969.821919106278,395006.0308541842,18933.568133154284
2042,18655508.20785156,102868.83966260651,7359.633955045111,1687342809.5320983,36867.62104812493,1137596772.7564104,192586637.06706172,147255.89767290713,26486.35844551991,397889.72496997117,19178.73295077059
2043,18820974.21668056,103766.02149687095,7594.950738246181,1724678798.7895715,37971.96219857019,1129909680.128205,195650602.1387402,149790.59950959176,26019.843310559114,400780.55043481814,19462.086799812114
2044,18987739.56870172,104667.98032604375,7846.395447305932,1762727197.0016205,39216.00848986297,1122254955.7692308,198755675.77329227,152323.1536839144,25569.845145130497,403683.3186515626,19779.200670375518
2045,19143151.530989535,105510.7804529979,8105.602020652568,1799709046.2141018,40572.93460594777,1114125302.2435896,201898433.76948428,154851.2249628532,25135.91588780098,406601.24368112924,20118.213437683156
